Date,Open,High,Low,Close,Vol
20230224,29555,29835,28450,28825,11959
20230227,28880,29530,28710,28925,5263
20230228,29115,29250,28640,28890,3902
20230301,28820,29640,28600,29010,4888
20230302,29100,29380,28790,29070,11252
20230303,29070,29110,27500,27800,11252
20230306,27870,28135,27780,27870,3438
20230307,27940,28080,27435,27550,5648
20230308,27570,27765,27360,27595,5475
20230309,27355,27355,25445,25545,10359
20230310,25760,25810,25010,25445,12356
20230313,26605,30120,26600,29885,20590
20230314,29730,32070,29535,30720,21480
20230315,30110,30900,29475,29970,11911
20230316,30065,30790,29740,30570,6016
20230317,30515,32630,30440,32480,14522
20230320,33545,34210,32825,33425,11415
20230321,33680,34140,33035,33790,8067
20230322,33665,34515,32160,32280,14359
20230323,32710,34405,32560,34030,9123
20230324,33895,34060,32955,33395,9123
20230327,33405,33705,32010,32460,10966
20230328,32685,33040,32120,32935,9974
20230329,32740,34145,32585,33920,9206
20230330,33790,34700,33185,33480,3414
20230331,33630,34380,32995,34000,15969
20230403,33990,34105,32910,33525,14438
20230404,33170,33905,33110,33635,14864
20230405,33705,34245,33185,33645,16414
20230406,33525,33635,33035,33400,7309
20230407,33355,33455,33125,33305,1620
20230410,33670,34925,33530,34680,13957
20230411,34715,36025,34705,35585,15199
20230412,35675,35960,35060,35185,10094
20230413,35425,36155,35200,35790,11458
20230414,35715,36465,35325,35730,12516
20230417,35845,35845,34540,34810,7793
20230418,34765,35835,34415,35585,7482
20230419,35730,35760,34270,34525,17768
20230420,34490,34560,33255,33355,9310
20230421,33595,33625,32455,32570,9310
20230424,32560,33280,32235,32660,6031
20230425,32740,33320,32465,32865,4879
20230426,33510,35300,32500,33160,2951
20230427,33855,35160,33550,34995,8298
20230428,34965,34975,34125,34530,8298
20230501,34670,34755,32760,32970,10580
20230502,33050,34110,33005,33905,7150
20230503,33835,34030,33240,33470,5829
20230504,33905,34575,33830,34070,8347
20230505,34025,34955,33915,34820,10057
20230508,34535,34535,32380,32420,12008
20230509,32735,32915,32440,32825,5680
20230510,32750,33460,31805,32830,18065
20230511,32665,32850,31775,31900,7783
20230512,32095,32140,30895,31540,8560
20230515,31850,32795,31810,32530,9842
20230516,32470,32485,31930,32020,7180
20230517,32055,32590,31590,32485,8630
20230518,32495,32605,31420,31835,10996
20230519,31955,32270,31715,31940,6406
20230522,31910,32210,31600,31920,5363
20230523,32025,32620,31860,32255,7460
20230524,32255,32330,31070,31280,11229
20230525,31450,31525,30870,31450,2763
20230526,31385,31980,31275,31800,8078
20230530,32730,33160,32585,32955,12435
20230531,32760,32930,31800,31960,8085
20230601,32080,32330,31565,31810,7498
20230602,31875,32320,31450,32270,7498
20230605,32910,32910,30265,30525,19286
20230606,30510,32265,30215,32150,16366
20230607,32005,32400,31205,31495,6410
20230608,31135,31845,31085,31535,4241
20230609,31615,31815,31265,31360,3338
20230612,31035,31070,30555,30775,3252
20230613,30920,31435,30610,30815,4733
20230614,30775,31045,29705,30785,6612
20230615,29975,30475,29630,30355,6661
20230616,30490,31490,30020,31330,9209
20230620,31700,33335,31595,33065,15104
20230621,33185,35810,33155,35145,23730
20230622,34895,35560,34625,35255,11647
20230623,35100,36540,34860,36005,17146
20230626,35880,35880,34875,35200,10756
20230627,35045,35995,35045,35590,8051
20230628,35680,35685,34750,34995,7504
20230629,34920,35800,34920,35555,3822
20230630,35415,36255,34105,35195,22932
20230703,35325,36340,35255,36215,10401
20230705,35625,35715,34940,35190,12645
20230706,35220,36385,34590,35025,11356
20230707,34965,35205,34365,34885,8320
20230710,34885,35765,34585,35570,5516
20230711,35495,35515,34890,35270,7115
20230712,35255,35745,34840,34910,9867
20230713,34970,36685,34880,36440,17774
20230714,35970,36410,34520,34750,14327
20230717,34775,35010,34255,34505,7561
20230718,34865,34865,34050,34300,8589
20230719,34395,34790,34290,34620,5703
20230720,34565,35035,34075,34280,7154
20230721,34360,34640,34255,34400,5541
20230724,34375,34650,33335,33620,8449
20230725,33650,33890,33565,33695,4113
20230726,33750,34200,33585,33910,2264
20230727,34040,34125,33465,33605,3923
20230728,33635,34095,33560,33830,4208
20230731,33670,34050,33560,33580,4257
20230801,33675,33820,32930,33735,6710
20230802,33650,34535,33295,33575,7146
20230803,33605,33895,33360,33705,2984
20230804,33645,33785,33170,33385,2763
20230807,33395,33605,33020,33550,2298
