CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20160429,25560.0,13450.0,22910.0,53700.0,19430.0,35625.0,-6240.0,17270.4,2955.0,10653.3,
20160531,28060.0,10562.5,17750.0,50268.75,19430.0,38062.5,-6240.0,17270.4,-5900.0,10653.3,
20160630,26760.0,10175.0,13480.0,53625.0,23940.0,43212.5,-6620.0,19924.8,-3685.0,12216.32,
20160729,24370.0,9000.0,16420.0,53831.25,23810.0,37037.5,-4860.0,18491.2,4935.0,12278.82,
20160831,18840.0,8506.25,11940.0,50118.75,20320.0,37037.5,-6380.0,19622.4,-4450.0,10918.5,
20160930,18840.0,8506.25,11940.0,47793.75,18350.0,37037.5,-610.0,22355.2,-4450.0,10918.5,
20161031,18840.0,9143.75,13450.0,48881.25,18500.0,37037.5,-2200.0,20753.6,-5985.0,11182.9,
20161130,18840.0,10712.5,16400.0,44737.5,15950.0,37300.0,-2960.0,20552.0,-9295.0,12965.15,
20161230,18380.0,11662.5,18620.0,46218.75,15950.0,35450.0,-2400.0,20115.2,-6830.0,13199.52,
20170131,16690.0,8956.25,11850.0,39993.75,15950.0,33325.0,-1710.0,18278.4,-13175.0,13012.02,
20170228,15700.0,8956.25,11850.0,39993.75,16310.0,33325.0,-2370.0,18278.4,-13175.0,12434.85,
20170331,14150.0,6400.0,11850.0,39993.75,12920.0,36000.0,-2720.0,19734.4,-13175.0,12434.85,
20170428,11820.0,6750.0,9400.0,40856.25,11570.0,36012.5,-3660.0,20529.6,-13175.0,13091.37,
20170531,8200.0,10937.5,6410.0,42375.0,11570.0,38025.0,-4180.0,21940.8,-16910.0,13966.37,
20170630,7790.0,12893.75,2390.0,44606.25,11580.0,36400.0,-3550.0,23374.4,-17875.0,13200.75,
20170731,5650.0,17812.5,-1600.0,41362.5,13820.0,35025.0,-4900.0,22142.4,-22170.0,12949.65,
20170831,5650.0,18456.25,410.0,41362.5,11690.0,33000.0,-4830.0,22019.2,-22900.0,12872.7,
20170929,5630.0,17143.75,-3860.0,41362.5,11580.0,33000.0,-3110.0,22019.2,-27625.0,11965.25,
20171031,8110.0,15681.25,-3860.0,41362.5,9600.0,33000.0,-5430.0,22019.2,-27625.0,11465.07,
20171130,10940.0,12668.75,-3860.0,41362.5,7150.0,33000.0,-5430.0,21627.2,-27525.0,12121.32,
20171229,13920.0,12668.75,-7400.0,40218.75,7780.0,31637.5,-5430.0,20115.2,-29950.0,12121.32,
20180131,18280.0,16662.5,-6150.0,39018.75,6310.0,30275.0,-6360.0,20507.2,-29950.0,14590.07,
20180228,12330.0,13781.25,-8670.0,38193.75,2750.0,31387.5,-6500.0,20216.0,-29950.0,15558.82,
20180329,12330.0,14481.25,-9560.0,39637.5,2750.0,29137.5,-3800.0,21369.6,-29950.0,14465.07,
