Date,EC,
20040923,1,536412.0
20040924,1,536362.0
20040927,1,536712.0
20040928,1,537150.0
20040929,1,537188.0
20040930,1,538550.0
20041001,1,538225.0
20041004,1,536738.0
20041005,1,537200.0
20041006,1,536538.0
20041007,1,536762.0
20041008,1,538312.0
20041012,1,537112.0
20041013,1,537325.0
20041014,1,538088.0
20041015,1,539050.0
20041018,1,539388.0
20041019,1,539600.0
20041020,1,540450.0
20041021,1,540925.0
20041022,1,541225.0
20041025,1,543075.0
20041026,1,542525.0
20041027,1,541925.0
20041028,1,542262.0
20041029,1,542988.0
20041101,1,542438.0
20041102,1,541738.0
20041103,1,543362.0
20041104,1,543900.0
20041105,1,544975.0
20041108,1,544550.0
20041109,1,544362.0
20041110,1,544250.0
20041112,1,545462.0
20041115,1,544938.0
20041116,1,545225.0
20041117,1,546138.0
20041118,1,545338.0
20041119,1,545838.0
20041122,1,546088.0
20041123,1,546638.0
20041124,1,547738.0
20041126,1,549312.0
20041129,1,549100.0
20041130,1,549300.0
20041201,1,549662.0
20041202,1,549012.0
20041203,1,551312.0
20041206,1,550900.0
20041207,1,551012.0
20041208,1,549838.0
20041209,1,549738.0
20041210,1,548600.0
20041213,1,549825.0
20041214,1,549562.0
20041215,1,550850.0
20041216,1,548675.0
20041217,1,549375.0
20041220,1,550662.0
20041221,1,550338.0
20041222,1,550712.0
20041223,1,551825.0
20041227,1,553500.0
20041228,1,553450.0
20041229,1,553100.0
20041230,1,553888.0
20041231,1,552625.0
20050103,1,551775.0
20050104,1,549162.0
20050105,1,549075.0
20050106,1,547875.0
20050107,1,546425.0
20050110,1,546875.0
20050111,1,547250.0
20050112,1,549088.0
20050113,1,548275.0
20050114,1,546938.0
20050118,1,546150.0
20050119,1,545688.0
20050120,1,545200.0
20050121,1,546400.0
20050124,1,546475.0
20050125,1,545312.0
20050126,1,546625.0
20050127,1,546200.0
20050128,1,546250.0
20050131,1,546088.0
20050201,1,546425.0
20050202,1,546225.0
20050203,1,545338.0
20050204,1,544162.0
20050207,1,542900.0
20050208,1,542912.0
20050209,1,543125.0
20050210,1,544200.0
20050211,1,544062.0
20050214,1,545225.0
20050215,1,545925.0
20050216,1,546188.0
20050217,1,546600.0
20050218,1,546588.0
20050222,1,548950.0
20050223,1,548588.0
20050224,1,548238.0
20050225,1,548688.0
20050228,1,548688.0
20050301,1,548012.0
20050302,1,547362.0
20050303,1,547050.0
20050304,1,548650.0
20050307,1,548200.0
20050308,1,549950.0
20050309,1,550650.0
20050310,1,550975.0
20050311,1,551338.0
20050314,1,550600.0
20050315,1,549962.0
20050316,1,551162.0
20050317,1,550625.0
20050318,1,549875.0
20050321,1,548188.0
20050322,1,547075.0
20050323,1,545700.0
20050324,1,545400.0
20050328,1,544400.0
20050329,1,545025.0
20050330,1,545138.0
20050331,1,545425.0
20050401,1,544775.0
20050404,1,544088.0
20050405,1,544350.0
20050406,1,544388.0
20050407,1,544062.0
20050408,1,544975.0
20050411,1,545688.0
20050412,1,544975.0
20050413,1,544812.0
20050414,1,543725.0
20050415,1,544750.0
20050418,1,546125.0
20050419,1,546338.0
20050420,1,546912.0
20050421,1,546525.0
20050422,1,546662.0
20050425,1,545712.0
20050426,1,545525.0
20050427,1,545088.0
20050428,1,544512.0
20050429,1,544138.0
20050502,1,544112.0
20050503,1,544138.0
20050504,1,545100.0
20050505,1,545125.0
20050506,1,543512.0
20050509,1,543700.0
20050510,1,544188.0
20050511,1,543275.0
20050512,1,542125.0
20050513,0,541700.0
20050516,0,541700.0
20050517,0,541700.0
20050518,0,541700.0
20050519,0,541700.0
20050520,0,541700.0
20050523,0,541700.0
20050524,0,541700.0
20050525,0,541700.0
20050526,0,541700.0
20050527,0,541700.0
20050531,0,541700.0
20050601,0,541700.0
20050602,0,541700.0
20050603,0,541700.0
20050606,0,541700.0
20050607,0,541700.0
20050608,0,541700.0
20050609,0,541700.0
20050610,0,541700.0
