Date,C_,S_,W_,
20110202,1,1,1,1020900.0
20110203,1,1,1,1019938.0
20110204,1,1,1,1020375.0
20110207,1,1,1,1019988.0
20110208,1,1,1,1021200.0
20110209,1,1,1,1023838.0
20110210,1,1,1,1021800.0
20110211,1,1,1,1021562.0
20110214,1,1,1,1020612.0
20110215,1,0,1,1018338.0
20110216,1,0,1,1018175.0
20110217,1,0,1,1019975.0
20110218,1,0,1,1018400.0
20110222,1,0,0,1017038.0
20110223,1,0,1,1016088.0
20110224,1,0,1,1016588.0
20110225,1,0,0,1016012.0
20110228,1,0,0,1016462.0
20110301,1,0,0,1016688.0
20110302,1,0,0,1015988.0
20110303,1,0,0,1016750.0
20110304,1,0,0,1016312.0
20110307,1,0,0,1015788.0
20110308,1,0,0,1015188.0
20110309,1,0,1,1014900.0
20110310,1,0,1,1014900.0
20110311,1,0,1,1016150.0
20110314,1,0,1,1015962.0
20110315,1,1,1,1021312.0
20110316,1,1,1,1021725.0
20110317,1,1,1,1015400.0
20110318,1,0,1,1011638.0
20110321,1,0,1,1011588.0
20110322,1,0,1,1011512.0
20110323,1,0,1,1012200.0
20110324,1,0,1,1009862.0
20110325,0,0,1,1010138.0
20110328,0,0,1,1010538.0
20110329,0,0,1,1009938.0
20110330,0,0,1,1010438.0
20110331,0,1,1,1007912.0
20110401,0,1,1,1007275.0
20110404,1,1,1,1006162.0
20110405,1,1,1,1006138.0
20110406,1,1,1,1006312.0
20110407,1,1,1,1005912.0
20110408,1,1,0,1006538.0
20110411,1,1,0,1005750.0
20110412,1,0,0,1004138.0
20110413,1,0,0,1004288.0
20110414,1,0,0,1004225.0
20110415,1,0,0,1003612.0
20110418,1,0,0,1004100.0
20110419,1,0,0,1003962.0
20110420,1,0,0,1003150.0
20110421,1,0,0,1003375.0
20110425,1,0,1,1005462.0
20110426,1,0,1,1004912.0
20110427,1,0,1,1002500.0
20110428,1,0,0,999738.0
20110429,1,0,0,1001100.0
20110502,1,0,0,1000000.0
20110503,0,0,0,999350.0
20110504,0,0,0,999350.0
20110505,0,1,1,999750.0
20110506,0,1,1,999262.0
20110509,0,1,1,997262.0
20110510,0,1,1,996700.0
20110511,0,1,1,999000.0
20110512,0,1,1,999625.0
20110513,0,1,1,1000675.0
20110516,0,1,1,1000388.0
20110517,0,1,1,998288.0
20110518,0,0,0,993612.0
20110519,0,0,0,993612.0
20110520,0,0,0,993612.0
20110523,0,0,0,993612.0
20110524,0,0,0,993612.0
20110525,0,0,0,993612.0
20110526,0,0,0,993612.0
20110527,0,0,0,993612.0
20110531,0,0,0,993612.0
20110601,0,0,0,993612.0
20110602,0,1,0,994038.0
20110603,0,1,0,994412.0
20110606,0,1,0,992850.0
20110607,0,1,0,993388.0
20110608,0,1,0,993762.0
20110609,1,1,0,993138.0
20110610,1,1,0,992888.0
20110613,1,1,0,992438.0
20110614,1,0,1,989838.0
20110615,0,0,1,990425.0
20110616,0,0,1,992188.0
