Date,TY,FV,US,ES,NQ,EM,
20101101,0,0,0,1,1,0,505995.0
20101102,0,0,0,1,1,0,506907.0
20101103,0,0,0,1,1,0,507412.0
20101104,0,1,0,1,1,0,508771.0
20101105,0,1,0,1,1,0,508639.0
20101108,0,1,0,1,1,0,508360.0
20101109,0,0,0,1,1,0,507132.0
20101110,0,0,0,1,0,0,506992.0
20101111,0,0,0,1,0,0,506842.0
20101112,0,0,0,1,0,0,506067.0
20101115,0,0,1,1,0,0,505896.0
20101116,0,0,1,0,0,0,503946.0
20101117,0,0,1,0,0,0,504602.0
20101118,0,0,1,0,0,0,505133.0
20101119,0,0,1,0,0,0,504446.0
20101122,0,0,1,0,0,0,503633.0
20101123,0,0,1,0,0,0,503102.0
20101124,0,0,1,0,0,0,505164.0
20101126,0,0,1,0,0,0,504133.0
20101129,0,0,1,0,0,0,504977.0
20101130,0,0,1,0,0,0,502914.0
20101201,0,0,1,0,0,0,505352.0
20101202,1,0,1,0,0,0,505598.0
20101203,1,0,1,0,0,0,505817.0
20101206,1,0,1,0,0,0,503989.0
20101207,1,0,1,0,0,0,508676.0
20101208,1,1,1,0,0,0,510152.0
20101209,1,1,1,0,0,0,510137.0
20101210,1,1,1,0,0,0,511449.0
20101213,1,1,1,0,0,0,510324.0
20101214,1,1,1,0,0,0,514785.0
20101215,1,1,1,0,0,0,515926.0
20101216,1,1,1,0,0,0,515004.0
20101217,1,1,1,0,0,0,511613.0
20101220,1,1,1,0,0,0,512395.0
20101221,1,1,1,0,0,0,511816.0
20101222,1,1,1,0,0,0,512621.0
20101223,1,1,1,0,0,0,513613.0
20101227,1,1,0,0,0,0,512389.0
20101228,0,1,1,0,0,0,513248.0
20101229,1,0,1,0,0,0,509127.0
20101230,1,0,1,0,0,0,509705.0
20101231,1,0,1,0,0,0,508127.0
20110103,1,0,1,1,0,0,508783.0
20110104,1,0,1,1,0,0,508830.0
20110105,1,0,1,1,0,0,512077.0
20110106,1,0,1,1,0,0,510799.0
20110107,1,0,1,1,0,0,508927.0
20110110,1,0,1,1,0,0,508405.0
20110111,1,0,1,1,0,0,509202.0
20110112,1,0,1,1,0,0,510024.0
20110113,1,0,1,1,0,0,508677.0
20110114,1,0,1,1,1,0,509903.0
20110118,1,0,1,1,1,0,511115.0
20110119,1,0,1,1,1,0,508827.0
20110120,1,0,1,0,1,0,510510.0
20110121,1,0,1,0,1,0,509307.0
20110124,1,0,1,0,1,0,509590.0
20110125,1,0,1,0,1,0,507561.0
20110126,1,0,1,0,1,0,510234.0
20110127,1,0,1,0,1,0,509246.0
20110128,0,0,1,0,0,0,506907.0
20110131,0,0,1,0,0,0,507719.0
20110201,0,0,1,0,0,0,508407.0
20110202,0,0,1,0,0,0,508813.0
20110203,0,0,1,0,0,0,509251.0
20110204,0,0,1,0,0,0,510469.0
20110207,0,0,1,1,1,0,509975.0
20110208,0,0,1,1,1,0,511411.0
20110209,0,0,1,1,1,0,510276.0
20110210,0,0,1,1,1,0,511054.0
20110211,0,0,1,1,1,0,510902.0
20110214,0,0,1,1,1,0,510466.0
20110215,0,0,1,1,1,0,510355.0
20110216,0,0,0,1,1,0,510417.0
20110217,0,0,0,1,1,0,510685.0
20110218,0,0,0,1,1,0,510952.0
20110222,0,0,0,1,0,0,508273.0
20110223,0,0,0,0,0,0,508010.0
20110224,0,0,0,0,0,0,508010.0
20110225,0,0,0,0,0,0,508010.0
20110228,0,0,0,0,0,0,508010.0
20110301,0,0,0,0,0,0,508010.0
20110302,0,0,0,0,0,0,508010.0
20110303,0,0,0,0,0,0,508010.0
20110304,0,0,0,0,0,0,508010.0
20110307,0,0,0,0,0,0,508010.0
20110308,0,0,0,0,0,0,508010.0
20110309,0,0,0,0,0,0,508010.0
20110310,0,0,0,0,0,0,508010.0
20110311,0,0,0,0,0,0,508010.0
20110314,0,0,0,0,0,0,508010.0
20110315,0,1,0,0,0,0,507168.0
20110316,0,1,0,0,0,0,507715.0
20110317,0,1,0,0,0,0,507504.0
20110318,0,1,0,0,0,0,507348.0
20110321,0,1,0,0,0,0,506950.0
20110322,0,1,0,0,0,0,506832.0
