Date,TY,FV,US,
20100512,1,1,1,498380.0
20100513,1,1,1,498692.0
20100514,1,1,1,501731.0
20100517,1,1,1,500809.0
20100518,1,1,1,503083.0
20100519,1,1,1,503098.0
20100520,1,1,1,505450.0
20100521,1,1,1,506762.0
20100524,1,1,1,505997.0
20100525,1,1,1,507520.0
20100526,1,1,1,505848.0
20100527,1,1,1,503036.0
20100528,1,1,1,504059.0
20100601,1,1,1,504216.0
20100602,1,1,1,503192.0
20100603,1,1,1,502380.0
20100604,1,1,1,507200.0
20100607,1,1,1,507247.0
20100608,1,1,1,507794.0
20100609,1,1,1,507364.0
20100610,1,1,1,503942.0
20100611,1,1,1,506880.0
20100614,1,1,1,505317.0
20100615,1,1,1,504302.0
20100616,1,1,1,504981.0
20100617,1,1,1,507294.0
20100618,1,1,1,506387.0
20100621,1,1,1,505895.0
20100622,1,1,1,507958.0
20100623,1,1,1,509247.0
20100624,1,1,1,508958.0
20100625,1,1,1,509552.0
20100628,1,1,1,511497.0
20100629,1,1,1,512942.0
20100630,1,1,1,513255.0
20100701,1,1,1,513809.0
20100702,1,1,1,512661.0
20100706,1,1,1,514192.0
20100707,1,1,1,513161.0
20100708,1,1,1,512247.0
20100709,1,1,1,511364.0
20100712,1,1,1,511669.0
20100713,1,1,1,510036.0
20100714,1,1,1,512145.0
20100715,1,1,1,514130.0
20100716,1,1,1,515231.0
20100719,1,1,1,514497.0
20100720,1,1,1,515247.0
20100721,1,1,1,516536.0
20100722,1,1,1,515356.0
20100723,1,1,1,513661.0
20100726,1,1,1,513809.0
20100727,1,1,1,512239.0
20100728,1,1,1,513692.0
20100729,1,1,1,514200.0
20100730,1,1,1,517216.0
20100802,1,1,1,515520.0
20100803,1,1,1,517317.0
20100804,1,1,1,516177.0
20100805,1,1,1,517114.0
20100806,1,1,1,519270.0
20100809,1,1,1,518887.0
20100810,1,1,1,519950.0
20100811,1,1,1,522403.0
20100812,1,1,1,521778.0
20100813,1,1,1,522856.0
20100816,1,1,1,525739.0
20100817,1,1,1,523989.0
20100818,1,1,1,524309.0
20100819,1,1,1,525887.0
20100820,1,1,1,524817.0
20100823,1,1,1,525216.0
20100824,1,1,1,528005.0
20100825,1,1,1,526677.0
20100826,1,1,1,527919.0
20100827,1,1,1,524020.0
20100830,1,1,1,527216.0
20100831,1,1,1,528770.0
20100901,1,1,1,525731.0
20100902,1,1,1,524794.0
20100903,1,1,1,522911.0
20100907,1,1,1,525630.0
20100908,1,1,1,524223.0
20100909,1,1,1,521161.0
20100910,1,1,1,520450.0
20100913,1,1,1,521934.0
20100914,1,1,1,523739.0
20100915,1,1,1,522520.0
20100916,1,1,1,521348.0
20100917,1,1,1,521942.0
20100920,1,1,1,522809.0
20100921,1,1,1,525770.0
20100922,1,1,1,526575.0
20100923,1,1,1,526598.0
20100924,1,1,1,525130.0
20100927,1,1,1,527809.0
20100928,1,1,1,529442.0
20100929,1,1,1,528427.0
20100930,1,1,1,528427.0
20101001,1,1,1,528153.0
20101004,1,1,1,529262.0
20101005,1,1,1,529309.0
20101006,1,1,1,531059.0
20101007,1,1,1,530856.0
20101008,1,1,1,531075.0
20101011,1,1,1,531247.0
20101012,1,1,1,530075.0
20101013,1,1,1,530067.0
20101014,1,1,1,528231.0
20101015,1,1,1,526387.0
20101018,1,1,1,528489.0
20101019,1,1,1,529020.0
20101020,1,1,1,529278.0
20101021,1,1,1,527903.0
20101022,1,1,1,527489.0
20101025,1,1,1,527778.0
20101026,1,1,1,525302.0
20101027,1,1,0,524236.0
20101028,1,1,0,525345.0
20101029,1,1,0,526041.0
20101101,1,1,0,526158.0
20101102,1,1,0,526424.0
20101103,1,1,0,526627.0
20101104,1,1,0,528181.0
20101105,1,1,0,527541.0
20101108,1,1,0,527314.0
20101109,1,1,0,525869.0
20101110,1,1,0,526588.0
20101111,1,1,0,525689.0
20101112,1,1,0,524877.0
20101115,0,0,0,523701.0
20101116,0,0,0,523701.0
20101117,0,0,0,523701.0
20101118,0,0,0,523701.0
20101119,0,0,0,523701.0
20101122,0,0,0,523701.0
20101123,0,0,0,523701.0
20101124,0,0,0,523701.0
20101126,0,0,1,523107.0
20101129,0,0,1,523951.0
20101130,0,0,1,521888.0
20101201,0,0,1,524326.0
20101202,0,0,1,524638.0
20101203,0,0,1,525044.0
20101206,0,0,1,523919.0
20101207,0,0,1,526669.0
20101208,1,0,1,528169.0
20101209,1,1,1,528005.0
20101210,1,1,1,529318.0
20101213,1,1,1,528193.0
20101214,1,1,1,532654.0
20101215,1,1,1,533794.0
20101216,1,1,1,532873.0
20101217,1,1,1,529482.0
20101220,1,1,1,530263.0
20101221,1,1,1,529685.0
20101222,1,1,1,530490.0
20101223,1,1,1,531482.0
20101227,1,1,1,530240.0
20101228,1,1,1,533498.0
20101229,1,1,1,529521.0
20101230,1,1,1,530310.0
20101231,1,1,1,528419.0
20110103,1,1,1,529373.0
20110104,1,1,1,529388.0
20110105,1,1,1,532982.0
20110106,1,1,1,531458.0
20110107,1,1,1,529068.0
20110110,1,1,1,528521.0
20110111,1,1,1,529232.0
20110112,1,1,1,529404.0
20110113,1,1,1,527849.0
20110114,1,1,1,528763.0
20110118,1,1,1,529568.0
20110119,1,1,1,528685.0
20110120,1,1,1,531748.0
20110121,1,1,1,530607.0
20110124,1,1,1,530287.0
20110125,1,1,1,527818.0
20110126,1,1,1,530419.0
20110127,1,1,1,529021.0
20110128,1,1,1,527552.0
20110131,1,1,1,528865.0
20110201,1,1,1,530396.0
20110202,1,1,1,531591.0
20110203,1,1,1,532771.0
20110204,1,1,1,535396.0
20110207,1,1,1,535115.0
20110208,1,1,1,537060.0
20110209,1,1,1,535115.0
20110210,1,1,1,536771.0
20110211,1,1,1,535326.0
20110214,1,1,1,534607.0
20110215,1,1,1,534490.0
20110216,1,1,1,534630.0
20110217,1,1,1,533341.0
20110218,1,1,1,533458.0
20110222,1,1,1,530099.0
20110223,1,1,1,530591.0
20110224,1,1,1,529521.0
20110225,1,1,1,529138.0
20110228,1,1,1,528654.0
20110301,1,1,0,528213.0
20110302,1,1,0,528814.0
20110303,1,1,0,530416.0
20110304,1,1,0,528947.0
20110307,1,1,0,529017.0
20110308,1,1,0,529432.0
20110309,1,0,0,528363.0
20110310,0,0,0,527813.0
20110311,0,0,0,527813.0
20110314,0,0,0,527813.0
20110315,0,0,0,527813.0
20110316,0,0,0,527813.0
20110317,0,0,0,527813.0
20110318,0,0,0,527813.0
20110321,0,0,0,527813.0
20110322,0,0,0,527813.0
20110323,0,0,0,527813.0
20110324,0,0,0,527813.0
20110325,0,0,0,527813.0
20110328,0,0,0,527813.0
20110329,0,0,0,527813.0
20110330,0,0,0,527813.0
20110331,0,0,0,527813.0
20110401,0,0,0,527813.0
20110404,0,0,0,527813.0
20110405,0,0,0,527813.0
20110406,0,0,0,527813.0
20110407,0,0,0,527813.0
20110408,0,0,0,527813.0
20110411,0,0,0,527813.0
20110412,0,0,0,527813.0
20110413,0,0,0,527813.0
20110414,0,0,0,527813.0
20110415,0,0,0,527813.0
20110418,0,0,0,527813.0
20110419,0,0,0,527813.0
20110420,0,0,0,527813.0
20110421,0,0,0,527813.0
20110425,0,0,0,527813.0
20110426,0,0,0,527813.0
20110427,0,0,0,527813.0
20110428,0,0,0,527813.0
20110429,0,1,0,527970.0
20110502,1,1,0,528102.0
20110503,1,1,0,528407.0
20110504,1,1,1,529032.0
20110505,1,1,1,530438.0
20110506,1,1,1,530852.0
20110509,1,1,1,531313.0
20110510,1,1,1,530110.0
20110511,1,1,1,531196.0
20110512,1,1,1,530220.0
20110513,1,1,1,531352.0
20110516,1,1,1,532345.0
20110517,1,1,1,533110.0
20110518,1,1,1,531720.0
20110519,1,1,1,531821.0
20110520,1,1,1,532360.0
20110523,1,1,1,532852.0
20110524,1,1,1,533149.0
20110525,1,1,1,533118.0
20110526,1,1,1,535032.0
20110527,1,1,1,535087.0
20110531,1,1,1,535610.0
20110601,1,1,1,537813.0
20110602,1,1,1,536181.0
20110603,1,1,1,537149.0
20110606,1,1,1,537009.0
20110607,1,1,1,536868.0
20110608,1,1,1,538462.0
20110609,1,1,1,537220.0
20110610,1,1,1,538063.0
20110613,1,1,1,537516.0
20110614,1,1,1,534665.0
20110615,1,1,1,538087.0
20110616,1,1,1,539626.0
20110617,1,1,1,538821.0
20110620,1,1,1,538595.0
20110621,1,1,1,537977.0
20110622,1,1,1,538001.0
20110623,1,1,1,540235.0
20110624,1,1,1,541102.0
20110627,1,1,1,539407.0
20110628,1,1,1,536282.0
20110629,1,1,1,534923.0
20110630,1,1,1,533571.0
20110701,1,1,1,532665.0
20110705,1,1,1,534352.0
20110706,1,1,1,535384.0
20110707,1,1,1,534024.0
20110708,1,1,1,537845.0
20110711,1,1,1,540352.0
20110712,1,1,1,540735.0
20110713,1,1,1,541274.0
20110714,1,1,1,539821.0
20110715,1,1,1,540720.0
20110718,1,1,1,540509.0
20110719,1,1,1,541368.0
20110720,1,1,1,540165.0
20110721,1,1,1,538446.0
20110722,1,1,1,539704.0
20110725,1,1,1,538641.0
20110726,1,1,1,540087.0
20110727,1,1,1,539399.0
20110728,1,1,1,540266.0
20110729,1,1,1,544274.0
20110801,1,1,1,545837.0
20110802,1,1,1,548837.0
20110803,1,1,1,549329.0
20110804,1,1,1,553001.0
20110805,1,1,1,550204.0
20110808,1,1,1,555462.0
20110809,1,1,1,559399.0
20110810,1,1,1,560657.0
20110811,1,1,1,556563.0
20110812,1,1,1,559157.0
20110815,1,1,1,557915.0
20110816,1,1,1,559563.0
20110817,1,1,1,560798.0
20110818,1,1,1,562938.0
20110819,1,1,1,563548.0
20110822,1,1,1,563181.0
20110823,1,1,1,561751.0
20110824,1,1,1,558548.0
20110825,1,1,1,559938.0
20110826,1,1,1,560977.0
20110829,1,1,1,558852.0
20110830,1,1,1,561579.0
20110831,1,1,1,559774.0
20110901,1,1,1,561899.0
20110902,1,1,1,565774.0
20110906,1,1,1,566149.0
20110907,1,1,1,564399.0
20110908,1,1,1,565571.0
20110909,1,1,1,567610.0
20110912,1,1,1,567102.0
20110913,1,1,1,565391.0
20110914,1,1,1,565259.0
20110915,1,1,1,563384.0
20110916,1,1,1,563821.0
20110919,1,1,1,567571.0
20110920,1,1,1,567095.0
20110921,1,1,1,569032.0
20110922,1,1,1,573282.0
20110923,1,1,1,570790.0
20110926,1,1,1,568056.0
20110927,1,1,1,564884.0
20110928,1,1,1,565227.0
20110929,1,1,1,566751.0
20110930,1,1,1,567368.0
20111003,1,1,1,571360.0
20111004,1,1,1,571329.0
20111005,1,1,1,568360.0
20111006,1,1,1,566423.0
20111007,1,1,1,564321.0
20111010,1,1,1,559876.0
20111011,1,1,1,561931.0
20111012,1,1,1,560212.0
20111013,1,1,1,562024.0
20111014,1,1,1,560610.0
20111017,1,1,1,562759.0
20111018,1,1,1,562837.0
20111019,1,1,1,562727.0
20111020,1,1,1,562063.0
20111021,1,1,1,561548.0
20111024,1,1,1,560681.0
20111025,1,1,1,563860.0
20111026,1,1,1,561735.0
20111027,0,0,0,557087.0
20111028,0,0,0,557087.0
20111031,0,0,0,557087.0
20111101,0,0,0,557087.0
20111102,0,0,0,557087.0
20111103,0,0,0,557087.0
20111104,0,0,0,557087.0
20111107,0,0,0,557087.0
20111108,0,0,0,557087.0
20111109,0,0,0,557087.0
20111110,0,0,0,557087.0
20111111,0,0,0,557087.0
20111114,0,0,0,557087.0
20111115,0,0,0,557087.0
20111116,0,0,0,557087.0
20111117,0,0,0,557087.0
20111118,0,0,0,557087.0
20111121,0,0,0,557087.0
20111122,0,0,0,557087.0
20111123,0,0,0,557087.0
20111125,0,0,0,557087.0
20111128,0,0,0,557087.0
20111129,0,0,0,557087.0
20111130,0,0,0,557087.0
20111201,0,0,0,557087.0
20111202,0,0,0,557087.0
20111205,0,0,0,557087.0
20111206,0,0,0,557087.0
20111207,0,0,0,557087.0
20111208,0,0,0,557087.0
20111209,0,0,0,557087.0
20111212,0,0,0,557087.0
20111213,0,0,0,557087.0
20111214,0,0,0,557087.0
20111215,0,0,0,557087.0
20111216,0,0,0,557087.0
20111219,0,0,0,557087.0
20111220,1,0,1,554415.0
20111221,1,0,1,553368.0
20111222,1,0,1,553618.0
20111223,1,0,1,551524.0
20111227,1,0,1,552087.0
20111228,1,0,1,554930.0
20111229,1,0,1,555040.0
20111230,1,0,1,555633.0
20120103,1,0,1,553337.0
20120104,1,0,1,552493.0
20120105,1,0,1,552477.0
20120106,1,0,0,552084.0
20120109,1,0,0,552193.0
20120110,1,0,0,552052.0
20120111,1,0,0,552537.0
20120112,1,0,0,552302.0
20120113,1,0,0,552880.0
20120117,1,0,0,552927.0
20120118,1,0,0,552599.0
20120119,1,0,0,552037.0
20120120,1,0,0,551599.0
20120123,1,0,0,551318.0
20120124,1,0,0,551427.0
20120125,1,0,0,552099.0
20120126,1,0,0,552771.0
20120127,1,0,0,553052.0
20120130,1,0,0,553365.0
20120131,1,0,0,553584.0
20120201,1,0,0,553318.0
20120202,1,0,0,553505.0
20120203,1,0,0,552662.0
20120206,1,0,0,553005.0
20120207,1,0,0,552490.0
20120208,1,0,0,552427.0
20120209,1,0,0,552115.0
20120210,1,0,0,552724.0
20120213,1,0,0,552459.0
20120214,1,0,0,552865.0
20120215,1,0,0,552912.0
20120216,1,0,0,552318.0
20120217,1,0,0,552255.0
20120221,1,0,0,551974.0
20120222,1,0,0,552380.0
20120223,1,0,0,552537.0
20120224,1,0,0,552521.0
20120227,1,0,0,552959.0
20120228,1,0,0,553005.0
20120229,1,0,0,552568.0
20120301,1,0,0,552146.0
20120302,1,0,0,552709.0
20120305,1,0,0,552490.0
20120306,1,0,0,553037.0
20120307,1,0,0,552834.0
20120308,1,0,0,552521.0
20120309,1,0,0,552334.0
20120312,1,0,0,552365.0
20120313,0,0,0,552032.0
20120314,0,0,0,552032.0
20120315,1,1,1,552220.0
20120316,1,1,1,552649.0
20120319,1,1,1,554712.0
20120320,1,1,1,554564.0
20120321,1,1,1,552462.0
20120322,1,1,1,551884.0
20120323,1,1,1,550681.0
20120326,1,1,1,550759.0
20120327,1,1,1,549274.0
20120328,1,1,1,549321.0
20120329,1,1,1,548220.0
20120330,1,1,1,549892.0
20120402,1,1,1,549306.0
20120403,1,1,1,551712.0
20120404,1,1,1,550501.0
20120405,1,1,1,548642.0
20120406,0,0,1,545910.0
20120409,0,0,0,545359.0
20120410,0,0,0,545359.0
20120411,0,0,0,545359.0
20120412,0,0,0,545359.0
20120413,0,0,0,545359.0
20120416,0,0,0,545359.0
20120417,0,0,0,545359.0
20120418,0,0,0,545359.0
20120419,0,0,0,545359.0
20120420,0,0,0,545359.0
20120423,0,0,0,545359.0
20120424,0,0,0,545359.0
20120425,0,0,0,545359.0
20120426,0,0,0,545359.0
20120427,0,0,0,545359.0
20120430,0,0,0,545359.0
20120501,0,0,0,545359.0
20120502,0,0,0,545359.0
20120503,0,0,0,545359.0
20120504,0,0,0,545359.0
20120507,0,0,0,545359.0
20120508,0,0,0,545359.0
20120509,0,0,0,545359.0
20120510,0,0,0,545359.0
20120511,0,0,0,545359.0
20120514,0,0,0,545359.0
20120515,1,0,1,545109.0
20120516,1,0,1,545562.0
20120517,1,0,1,547468.0
20120518,1,0,1,547452.0
20120521,1,0,1,546859.0
20120522,1,0,1,545421.0
20120523,1,0,1,547406.0
20120524,1,0,1,546374.0
20120525,1,0,1,546812.0
20120529,1,0,1,546968.0
20120530,1,0,1,549656.0
20120531,1,0,1,550515.0
20120601,1,0,1,553687.0
20120604,1,0,1,552296.0
20120605,1,0,1,551452.0
20120606,1,0,1,548906.0
20120607,1,0,1,548749.0
20120608,1,0,1,548999.0
20120611,1,0,1,549952.0
20120612,1,0,1,548296.0
20120613,1,0,1,549827.0
20120614,1,0,1,549562.0
20120615,1,0,1,550296.0
20120618,1,0,1,550281.0
20120619,1,0,1,549343.0
20120620,1,0,1,548656.0
20120621,1,0,1,549437.0
20120622,1,0,1,547952.0
20120625,1,0,1,549702.0
20120626,1,0,1,549202.0
20120627,1,0,1,549468.0
20120628,1,0,1,550624.0
20120629,1,0,1,548202.0
20120702,1,0,1,550468.0
20120703,1,0,1,549031.0
20120705,1,0,1,549718.0
20120706,1,0,1,551093.0
20120709,1,0,1,551999.0
20120710,1,0,1,552484.0
20120711,1,0,1,552609.0
20120712,1,0,1,553140.0
20120713,1,0,1,552593.0
20120716,1,0,1,553452.0
20120717,1,0,1,552343.0
20120718,1,0,1,552890.0
20120719,1,0,1,551921.0
20120720,1,0,1,553546.0
20120723,1,0,1,554077.0
20120724,1,0,1,554999.0
20120725,1,0,1,554906.0
20120726,1,0,1,554390.0
20120727,1,0,1,551015.0
20120730,1,0,1,552421.0
20120731,1,0,1,552546.0
20120801,1,0,1,551296.0
20120802,1,0,1,552984.0
20120803,1,0,1,550296.0
20120806,1,0,1,550874.0
20120807,1,0,1,549093.0
20120808,1,0,1,548718.0
20120809,0,0,0,547727.0
20120810,0,0,0,547727.0
20120813,0,0,0,547727.0
20120814,0,0,0,547727.0
20120815,0,0,0,547727.0
20120816,0,0,0,547727.0
20120817,0,0,0,547727.0
20120820,0,0,0,547727.0
20120821,0,0,0,547727.0
20120822,0,0,0,547727.0
20120823,0,0,0,547727.0
20120824,0,0,0,547727.0
20120827,0,0,0,547727.0
20120828,0,0,0,547727.0
20120829,0,0,0,547727.0
20120830,0,0,0,547727.0
20120831,0,0,0,547727.0
20120903,0,1,0,547703.0
20120904,0,1,0,547539.0
20120905,0,1,0,547555.0
20120906,0,1,0,547243.0
20120907,0,1,0,547438.0
20120910,0,1,0,547352.0
20120911,0,1,0,547336.0
20120912,0,1,0,547196.0
20120913,0,0,0,546922.0
20120914,0,0,0,546922.0
20120917,0,0,1,546141.0
20120918,0,0,1,545704.0
20120919,0,0,1,545266.0
20120920,0,0,1,544985.0
20120921,0,0,1,544829.0
20120924,0,0,1,544110.0
20120925,0,0,1,543329.0
20120926,0,0,0,541872.0
20120927,0,0,0,541872.0
20120928,0,0,0,541872.0
20121001,0,0,0,541872.0
20121002,0,0,0,541872.0
20121003,0,0,0,541872.0
20121004,0,0,0,541872.0
20121005,0,0,0,541872.0
20121008,0,0,0,541872.0
20121009,0,0,0,541872.0
20121010,0,0,0,541872.0
20121011,0,0,0,541872.0
20121012,0,0,0,541872.0
20121015,0,0,0,541872.0
20121016,0,0,0,541872.0
20121017,0,0,0,541872.0
20121018,0,0,0,541872.0
20121019,0,0,0,541872.0
20121022,0,0,0,541872.0
20121023,0,0,0,541872.0
20121024,0,0,0,541872.0
20121025,0,0,0,541872.0
20121026,0,0,0,541872.0
20121029,0,0,0,541872.0
20121030,0,0,0,541872.0
20121031,0,0,0,541872.0
20121101,0,0,0,541872.0
20121102,0,0,0,541872.0
20121105,0,0,0,541872.0
20121106,0,0,0,541872.0
20121107,0,0,0,541872.0
20121108,0,0,0,541872.0
20121109,0,0,0,541872.0
20121112,0,0,0,541872.0
20121113,0,0,0,541872.0
20121114,0,0,0,541872.0
20121115,0,0,0,541872.0
20121116,0,0,0,541872.0
20121119,0,0,0,541872.0
20121120,0,0,0,541872.0
20121121,0,0,0,541872.0
20121123,0,0,0,541872.0
20121126,0,0,0,541872.0
20121127,0,0,0,541872.0
20121128,0,0,0,541872.0
20121129,0,0,0,541872.0
20121130,0,0,0,541872.0
20121203,0,0,0,541872.0
20121204,0,0,0,541872.0
20121205,0,0,0,541872.0
20121206,0,0,0,541872.0
20121207,0,0,0,541872.0
20121210,0,0,0,541872.0
20121211,0,0,0,541872.0
20121212,0,0,0,541872.0
20121213,0,0,0,541872.0
20121214,0,0,0,541872.0
20121217,0,0,0,541872.0
20121218,0,0,0,541872.0
20121219,0,0,0,541872.0
20121220,0,0,0,541872.0
20121221,0,0,0,541872.0
20121224,0,0,0,541872.0
20121226,0,0,0,541872.0
20121227,0,0,0,541872.0
20121228,0,0,0,541872.0
20121231,0,0,0,541872.0
20130102,0,0,0,541872.0
20130103,0,0,0,541872.0
20130104,0,0,0,541872.0
20130107,0,0,0,541872.0
20130108,0,0,0,541872.0
20130109,0,0,0,541872.0
20130110,0,0,0,541872.0
20130111,0,0,0,541872.0
20130114,0,0,0,541872.0
20130115,0,0,0,541872.0
20130116,0,0,0,541872.0
20130117,0,0,0,541872.0
20130118,0,0,0,541872.0
20130122,0,0,0,541872.0
20130123,0,0,0,541872.0
20130124,0,0,0,541872.0
20130125,0,0,0,541872.0
20130128,0,0,0,541872.0
20130129,0,1,1,542216.0
20130130,0,1,1,542551.0
20130131,0,1,1,542106.0
20130201,0,1,1,542700.0
20130204,0,1,1,541919.0
20130205,0,1,1,542786.0
20130206,0,1,1,541825.0
20130207,0,1,1,541520.0
20130208,0,1,1,541622.0
20130211,0,1,1,541489.0
20130212,0,1,1,542247.0
20130213,0,1,1,543028.0
20130214,0,1,1,541973.0
20130215,0,1,1,542020.0
20130219,0,1,1,542497.0
20130220,0,1,1,542387.0
20130221,0,1,1,541497.0
20130222,0,1,1,541278.0
20130225,0,0,1,539804.0
20130226,0,0,1,539429.0
20130227,0,0,1,539897.0
20130228,0,0,1,539772.0
20130301,0,0,1,539210.0
20130304,0,0,1,539616.0
20130305,0,0,1,539897.0
20130306,0,0,1,540710.0
20130307,0,0,1,541585.0
20130308,0,0,1,542554.0
20130311,0,0,1,542616.0
20130312,0,0,1,541991.0
20130313,0,0,1,541991.0
20130314,0,0,1,542241.0
20130315,0,0,1,541679.0
20130318,0,0,1,540835.0
20130319,0,0,1,539960.0
20130320,0,0,1,540429.0
20130321,0,0,1,540241.0
20130322,0,0,1,539929.0
20130325,0,0,1,540054.0
20130326,0,0,1,539866.0
20130327,0,0,0,539503.0
20130328,0,0,0,539503.0
20130329,0,0,0,539503.0
20130401,0,0,0,539503.0
20130402,0,0,0,539503.0
20130403,0,0,0,539503.0
20130404,1,1,0,540034.0
20130405,1,1,0,540401.0
20130408,1,1,1,539519.0
20130409,1,1,1,539167.0
20130410,1,1,1,537542.0
20130411,1,1,1,537987.0
20130412,1,1,1,539909.0
20130415,1,1,1,540386.0
20130416,1,1,1,539941.0
20130417,1,1,1,540386.0
20130418,1,1,1,540925.0
20130419,1,1,1,540433.0
20130422,1,1,1,540620.0
20130423,1,1,1,540519.0
20130424,1,1,1,540698.0
20130425,1,1,1,540386.0
20130426,1,1,1,541839.0
20130429,1,1,1,541605.0
20130430,1,1,1,541284.0
20130501,1,1,1,542394.0
20130502,1,1,1,542511.0
20130503,1,1,1,539245.0
20130506,1,1,1,538409.0
20130507,1,1,1,538089.0
20130508,1,1,1,538753.0
20130509,1,1,1,538441.0
20130510,1,0,1,535866.0
20130513,1,0,0,535114.0
20130514,0,0,0,534735.0
20130515,0,0,0,534735.0
20130516,0,0,0,534735.0
20130517,0,0,0,534735.0
20130520,0,0,0,534735.0
20130521,0,0,0,534735.0
20130522,0,0,0,534735.0
20130523,0,0,0,534735.0
20130524,0,0,0,534735.0
20130528,0,0,0,534735.0
20130529,0,0,0,534735.0
20130530,0,1,0,534759.0
20130531,0,1,0,534938.0
20130603,0,1,0,534837.0
20130604,0,1,0,534915.0
20130605,0,1,0,534821.0
20130606,0,1,0,534743.0
20130607,0,1,0,535141.0
20130610,0,1,0,535329.0
20130611,0,1,0,535259.0
20130612,0,1,0,535399.0
20130613,0,1,0,535165.0
20130614,0,1,0,534751.0
20130617,0,1,0,534852.0
20130618,0,1,0,534868.0
20130619,0,1,0,535727.0
20130620,1,1,0,536626.0
20130621,1,1,1,539110.0
20130624,1,1,1,539805.0
20130625,1,1,1,540813.0
20130626,1,1,1,539298.0
20130627,1,1,1,537860.0
20130628,1,1,1,537665.0
20130701,1,1,1,537829.0
20130702,1,1,1,537462.0
20130703,1,1,1,538290.0
20130705,1,1,1,543774.0
20130708,1,1,1,541844.0
20130709,1,1,1,541555.0
20130710,1,1,1,542477.0
20130711,1,1,1,539501.0
20130712,1,1,1,540196.0
20130715,1,1,1,538930.0
20130716,1,1,1,538344.0
20130717,1,1,1,537282.0
20130718,1,1,1,538298.0
20130719,1,1,1,536946.0
20130722,1,1,1,536962.0
20130723,1,1,1,537594.0
20130724,1,1,1,539352.0
20130725,1,1,1,539618.0
20130726,1,1,1,538212.0
20130729,1,1,1,539009.0
20130730,1,1,1,539438.0
20130731,1,1,1,539251.0
20130801,1,1,1,542868.0
20130802,1,1,1,539274.0
20130805,1,1,1,540204.0
20130806,1,1,1,540212.0
20130807,1,1,1,539094.0
20130808,1,1,1,538493.0
20130809,1,1,1,538337.0
20130812,1,1,1,538907.0
20130813,1,1,1,541790.0
20130814,1,1,1,541673.0
20130815,1,1,1,542743.0
20130816,1,1,1,544501.0
20130819,1,1,1,545712.0
20130820,1,1,1,543891.0
20130821,1,1,1,545180.0
20130822,1,1,1,546243.0
20130823,1,1,1,544196.0
20130826,1,1,1,543712.0
20130827,1,1,1,541477.0
20130828,1,1,1,542899.0
20130829,1,1,1,541876.0
20130830,1,1,1,541759.0
20130903,1,1,1,544446.0
20130904,1,1,1,545696.0
20130905,1,1,1,548071.0
