Date,EC,JY,BP,
20111021,1,1,1,510425.0
20111024,1,1,1,509131.0
20111025,1,1,1,509569.0
20111026,1,1,0,509362.0
20111027,1,1,0,505925.0
20111028,0,1,0,506588.0
20111031,0,1,0,501500.0
20111101,0,0,0,501650.0
20111102,0,0,0,501650.0
20111103,0,0,0,501650.0
20111104,0,0,0,501650.0
20111107,0,0,0,501650.0
20111108,0,0,0,501650.0
20111109,0,0,0,501650.0
20111110,0,0,0,501650.0
20111111,0,0,0,501650.0
20111114,0,0,0,501650.0
20111115,0,0,0,501650.0
20111116,0,0,0,501650.0
20111117,0,0,0,501650.0
20111118,0,0,0,501650.0
20111121,0,0,0,501650.0
20111122,0,0,0,501650.0
20111123,0,0,0,501650.0
20111125,0,0,0,501650.0
20111128,0,0,0,501650.0
20111129,0,0,0,501650.0
20111130,0,0,0,501650.0
20111201,0,0,0,501650.0
20111202,0,0,0,501650.0
20111205,0,0,0,501650.0
20111206,0,0,0,501650.0
20111207,0,0,0,501650.0
20111208,0,0,0,501650.0
20111209,0,0,0,501650.0
20111212,0,0,0,501650.0
20111213,0,0,0,501650.0
20111214,0,0,0,501650.0
20111215,1,0,0,501338.0
20111216,1,0,0,501188.0
20111219,1,0,0,501325.0
20111220,1,0,0,500600.0
20111221,1,0,0,500938.0
20111222,1,0,0,500925.0
20111223,1,0,0,500762.0
20111227,1,0,0,500612.0
20111228,1,0,0,502238.0
20111229,1,0,0,502312.0
20111230,1,0,0,502075.0
20120103,1,0,0,500862.0
20120104,1,0,0,502350.0
20120105,1,0,0,504250.0
20120106,1,0,0,505038.0
20120109,1,0,0,504638.0
20120110,1,0,0,504212.0
20120111,1,0,0,505400.0
20120112,1,0,0,503750.0
20120113,1,0,0,505750.0
20120117,1,0,0,505100.0
20120118,1,0,0,503650.0
20120119,1,0,0,502438.0
20120120,1,0,0,502588.0
20120123,1,0,0,501400.0
20120124,1,0,0,501338.0
20120125,1,0,0,500562.0
20120126,1,0,0,500275.0
20120127,1,0,0,499062.0
20120130,1,0,0,500075.0
20120131,1,0,0,500588.0
20120201,1,0,0,499675.0
20120202,1,0,0,499862.0
20120203,1,0,0,499725.0
20120206,1,0,0,500088.0
20120207,1,0,0,498550.0
20120208,1,0,0,498488.0
20120209,1,0,0,498025.0
20120210,1,0,0,499500.0
20120213,1,0,0,499088.0
20120214,1,0,0,500475.0
20120215,1,0,0,500862.0
20120216,1,0,0,499888.0
20120217,1,1,0,500775.0
20120221,1,1,0,500162.0
20120222,1,1,0,501212.0
20120223,1,1,0,499812.0
20120224,0,1,0,501012.0
20120227,0,1,0,500025.0
20120228,0,1,0,500188.0
20120229,0,1,0,501300.0
20120301,0,1,0,501225.0
20120302,0,1,0,502588.0
20120305,0,1,0,501912.0
20120306,0,1,0,500600.0
20120307,0,1,0,501475.0
20120308,0,1,0,502250.0
20120309,0,1,0,503962.0
20120312,0,1,0,503412.0
20120313,0,1,0,504550.0
20120314,0,1,0,506038.0
20120315,0,1,0,505475.0
20120316,0,1,0,505438.0
20120319,0,1,0,505500.0
20120320,0,1,0,506025.0
20120321,0,1,0,505625.0
20120322,0,1,0,504012.0
20120323,0,1,0,503850.0
20120326,0,1,0,504425.0
20120327,0,1,0,504925.0
20120328,0,1,0,504388.0
20120329,0,1,0,503688.0
20120330,0,1,0,504512.0
20120402,0,1,0,503288.0
20120403,0,1,0,504775.0
20120404,0,1,0,504062.0
20120405,0,1,0,503638.0
20120406,0,1,0,502075.0
20120409,0,1,0,502288.0
20120410,0,1,0,500638.0
20120411,0,1,0,500900.0
20120412,0,1,0,500700.0
20120413,0,1,0,501300.0
20120416,0,1,0,500125.0
20120417,0,1,0,500712.0
20120418,0,1,0,501538.0
20120419,0,1,0,501962.0
20120420,0,1,0,502212.0
20120423,0,1,0,501375.0
20120424,0,1,0,501600.0
20120425,0,1,0,501712.0
20120426,0,1,1,501181.0
20120427,0,1,1,500556.0
20120430,0,1,1,499231.0
20120501,0,0,1,499081.0
20120502,0,0,1,498938.0
20120503,0,0,1,498844.0
20120504,0,0,1,498612.0
20120507,0,0,1,498850.0
20120508,0,0,1,498738.0
20120509,0,0,1,498606.0
20120510,1,0,1,498462.0
20120511,1,0,1,498300.0
20120514,1,0,1,499500.0
20120515,1,0,1,500231.0
20120516,1,0,1,499825.0
20120517,1,0,1,499331.0
20120518,1,0,0,498725.0
20120521,1,0,0,498088.0
20120522,1,0,0,498962.0
20120523,1,0,0,500788.0
20120524,1,0,0,501388.0
20120525,1,0,0,501488.0
20120529,1,0,0,501850.0
20120530,1,0,0,503200.0
20120531,1,0,0,503400.0
20120601,1,0,1,503000.0
20120604,1,0,1,501938.0
20120605,1,0,1,502612.0
20120606,1,0,1,500712.0
20120607,1,0,1,499494.0
20120608,1,0,1,501281.0
20120611,1,0,1,501062.0
20120612,1,0,1,500581.0
20120613,1,0,1,499750.0
20120614,1,0,1,499575.0
20120615,1,0,1,498181.0
20120618,1,0,1,498962.0
20120619,1,0,1,497206.0
20120620,1,0,1,497706.0
20120621,1,0,1,499762.0
20120622,1,0,1,499706.0
20120625,1,0,1,500675.0
20120626,1,0,1,500206.0
20120627,1,0,1,501181.0
20120628,1,0,1,501962.0
20120629,1,0,1,497912.0
20120702,1,0,1,498775.0
20120703,1,0,1,498388.0
20120705,1,0,1,502219.0
20120706,1,0,1,504006.0
20120709,1,0,1,503256.0
20120710,1,0,1,504069.0
20120711,1,0,1,504562.0
20120712,1,0,1,505250.0
20120713,1,0,1,503831.0
20120716,1,0,1,503012.0
20120717,1,0,1,502756.0
20120718,1,0,1,503106.0
20120719,1,0,1,502406.0
20120720,1,0,1,504556.0
20120723,1,0,1,505562.0
20120724,1,0,1,506444.0
20120725,1,0,1,505238.0
20120726,1,0,1,502512.0
20120727,1,0,1,502006.0
20120730,1,0,1,502712.0
20120731,1,0,1,502325.0
20120801,1,0,1,504012.0
20120802,1,0,1,505112.0
20120803,1,0,1,501700.0
20120806,1,0,1,501694.0
20120807,1,0,1,501294.0
20120808,1,0,1,501944.0
20120809,1,0,1,502788.0
20120810,1,0,1,502588.0
20120813,1,0,1,501981.0
20120814,1,0,1,502000.0
20120815,1,0,1,502544.0
20120816,1,0,1,501306.0
20120817,1,0,0,501750.0
20120820,1,0,0,501412.0
20120821,1,0,0,499925.0
20120822,1,0,0,499150.0
20120823,0,0,0,499050.0
20120824,0,0,0,499050.0
20120827,0,0,0,499050.0
20120828,0,0,0,499050.0
20120829,0,0,0,499050.0
20120830,0,0,0,499050.0
20120831,0,0,0,499050.0
20120903,0,0,0,499050.0
20120904,0,0,0,499050.0
20120905,0,0,0,499050.0
20120906,0,0,0,499050.0
20120907,0,0,1,499488.0
20120910,1,0,1,498962.0
20120911,1,0,1,500519.0
20120912,1,0,1,501138.0
20120913,1,0,1,502581.0
20120914,1,1,1,503019.0
20120917,1,1,1,502050.0
20120918,1,1,1,500975.0
20120919,1,0,1,501269.0
20120920,1,0,1,500031.0
20120921,1,0,1,500462.0
20120924,1,0,1,499688.0
20120925,1,0,1,499456.0
20120926,1,0,1,498275.0
20120927,1,0,1,499481.0
20120928,1,0,1,498069.0
20121001,1,0,1,498438.0
20121002,1,0,1,498862.0
20121003,1,0,1,498244.0
20121004,1,0,1,500425.0
20121005,1,0,1,500331.0
20121008,1,0,1,498906.0
20121009,1,0,1,497606.0
20121010,1,0,1,497762.0
20121011,1,0,1,498419.0
20121012,1,0,1,498944.0
20121015,1,0,1,498750.0
20121016,1,0,1,500244.0
20121017,1,0,1,501531.0
20121018,1,0,1,500188.0
20121019,1,0,1,499375.0
20121022,1,0,1,499600.0
20121023,1,1,1,498262.0
20121024,1,1,1,498638.0
20121025,1,1,1,499775.0
20121026,1,1,1,498212.0
20121029,1,1,1,497800.0
20121030,1,1,1,498350.0
20121031,1,1,1,498975.0
20121101,1,1,1,499469.0
20121102,1,1,1,497850.0
20121105,1,1,1,496800.0
20121106,1,1,1,497569.0
20121107,1,1,1,495944.0
20121108,1,1,1,494600.0
20121109,1,1,1,493775.0
20121112,1,1,0,493725.0
20121113,0,1,0,493475.0
20121114,0,1,0,494988.0
20121115,0,1,0,496988.0
20121116,0,1,0,497025.0
20121119,0,1,0,497275.0
20121120,0,1,0,497938.0
20121121,0,1,0,499388.0
20121123,0,1,0,499188.0
20121126,0,1,0,498800.0
20121127,0,1,0,498800.0
20121128,0,1,0,498338.0
20121129,0,1,0,498725.0
20121130,0,1,0,499225.0
20121203,0,1,0,498912.0
20121204,0,1,0,498200.0
20121205,0,1,0,499112.0
20121206,0,1,0,499175.0
20121207,0,1,0,499225.0
20121210,0,1,0,499125.0
20121211,0,1,0,499438.0
20121212,0,1,0,500700.0
20121213,0,1,0,501400.0
20121214,0,1,0,501188.0
20121217,0,1,0,501850.0
20121218,0,1,0,502488.0
20121219,0,1,0,502862.0
20121220,1,1,0,503350.0
20121221,1,1,0,502175.0
20121224,1,1,0,503325.0
20121226,1,1,0,505162.0
20121227,1,1,0,506075.0
20121228,1,1,0,505938.0
20121231,1,1,0,506588.0
20130102,1,1,0,507100.0
20130103,1,1,0,505750.0
20130104,1,1,0,507462.0
20130107,1,1,0,507475.0
20130108,1,1,0,506075.0
20130109,1,1,0,506625.0
20130110,1,1,0,509775.0
20130111,1,1,0,512450.0
20130114,1,1,0,513262.0
20130115,1,1,0,511338.0
20130116,1,1,0,510762.0
20130117,1,1,0,514388.0
20130118,1,1,0,513538.0
20130122,1,1,1,511394.0
20130123,1,1,1,511338.0
20130124,1,1,1,514344.0
20130125,1,1,1,517006.0
20130128,1,1,1,517162.0
20130129,1,1,1,517112.0
20130130,1,1,1,518631.0
20130131,1,1,1,518606.0
20130201,1,1,1,522569.0
20130204,1,1,1,519981.0
20130205,1,1,1,522862.0
20130206,1,1,1,522106.0
20130207,1,1,1,520550.0
20130208,1,1,1,518425.0
20130211,1,1,1,520462.0
20130212,1,1,1,521344.0
20130213,1,1,1,522031.0
20130214,1,1,1,520475.0
20130215,1,1,1,520975.0
20130219,1,1,1,521975.0
20130220,1,1,1,522362.0
20130221,1,1,1,519906.0
20130222,1,1,1,520456.0
20130225,1,1,1,518906.0
20130226,0,1,1,517456.0
