TY,FV,US,
20191031,-24507.31,-15626.93,21241.34,
20191129,-24507.31,-15626.93,21241.34,
20191231,-24873.44,-15626.93,21241.34,
20200131,-25761.19,-15029.72,21765.35,
20200228,-22667.44,-12920.43,28484.1,
20200331,-22206.26,-12032.93,35934.1,
20200430,-22182.95,-11907.93,37439.13,
20200529,-22182.95,-12012.62,37439.13,
20200630,-22182.95,-12012.62,37439.13,
20200731,-22059.7,-11909.33,37439.13,
20200831,-22648.47,-12201.41,36439.19,
20200930,-22648.47,-12201.41,33634.66,
20201030,-22218.8,-12234.09,33234.03,
20201130,-22831.79,-13052.58,26407.44,
20201231,-22781.48,-13052.58,26407.44,
20210129,-22773.86,-13052.58,26327.37,
20210226,-19146.43,-11698.02,35827.37,
20210331,-17912.8,-11198.8,40456.37,
20210430,-19037.94,-11798.11,38639.27,
20210528,-19037.94,-11798.11,38639.27,
20210630,-19037.94,-11904.24,39156.89,
20210730,-17633.35,-12259.05,42263.14,
20210831,-17647.63,-12684.05,40449.75,
20210930,-17600.58,-12305.96,40449.75,
20211029,-17331.2,-11435.38,38968.79,
20211130,-18515.07,-12874.34,38968.79,
20211231,-18515.07,-12874.34,38968.79,
20220131,-17563.46,-12411.21,39544.74,
20220228,-16427.31,-11281.52,41838.49,
20220331,-14109.41,-9071.01,40904.03,
20220429,-10854.64,-7836.05,50393.44,
20220531,-10391.51,-8154.54,50420.01,
20220630,-12752.73,-9466.51,44855.51,
20220729,-12752.73,-9466.51,44855.51,
20220831,-15785.23,-9466.51,39494.31,
20220930,-12922.7,-7061.4,45247.01,
20221031,-12299.14,-6244.21,49634.51,
20221130,-12299.14,-6244.21,49634.51,
20221230,-12299.14,-6244.21,49634.51,
20230131,-13428.32,-7097.26,49634.51,
20230228,-13974.15,-7097.26,49634.51,
20230331,-15363.86,-9427.92,46090.54,
20230428,-16085.73,-9954.48,42300.7,
20230531,-16085.73,-9954.48,42300.7,
20230630,-16553.15,-10113.11,42300.7,
20230731,-17232.58,-10545.92,39340.39,
20230831,-16483.66,-10545.92,43677.3,
20230929,-16168.3,-10791.51,46512.73,
20231031,-15500.93,-10801.89,48904.72,
20231130,-16692.91,-11763.35,47457.8,
20231229,-15316.77,-9841.47,49275.45,
20240131,-16515.59,-10234.43,46877.19,
20240229,-16515.59,-10234.43,46877.19,
20240328,-16515.59,-10234.43,46877.19,
20240430,-14857.09,-9094.2,49533.06,
20240531,-15567.69,-9816.07,48511.37,
20240628,-15567.69,-9816.07,48511.37,
20240718,-15567.69,-9812.72,48511.37,
