Date,ES,
20120216,0,98075.0
20120217,0,98075.0
20120221,0,98075.0
20120222,0,98075.0
20120223,0,98075.0
20120224,0,98075.0
20120227,0,98075.0
20120228,0,98075.0
20120229,0,98075.0
20120301,0,98075.0
20120302,0,98075.0
20120305,0,98075.0
20120306,1,97750.0
20120307,1,98288.0
20120308,0,98600.0
20120309,0,98600.0
20120312,0,98600.0
20120313,0,98600.0
20120314,0,98600.0
20120315,0,98600.0
20120316,0,98600.0
20120319,0,98600.0
20120320,0,98600.0
20120321,0,98600.0
20120322,1,98700.0
20120323,1,98950.0
20120326,0,99288.0
20120327,0,99288.0
20120328,0,99288.0
20120329,1,99600.0
20120330,1,99850.0
20120402,0,99725.0
20120403,0,99725.0
20120404,0,99725.0
20120405,1,99812.0
20120409,1,99050.0
20120410,1,98150.0
20120411,1,98500.0
20120412,1,99600.0
20120413,1,98550.0
20120416,1,98500.0
20120417,0,98925.0
20120418,0,98925.0
20120419,0,98925.0
20120420,0,98925.0
20120423,0,98925.0
20120424,0,98925.0
20120425,0,98925.0
20120426,0,98925.0
20120427,0,98925.0
20120430,0,98925.0
20120501,0,98925.0
20120502,0,98925.0
20120503,0,98925.0
20120504,1,98062.0
20120507,1,98225.0
20120508,1,97862.0
20120509,1,97488.0
20120510,1,97812.0
20120511,1,97438.0
20120514,1,96638.0
20120515,0,96625.0
20120516,1,96475.0
20120517,1,95412.0
20120518,1,94888.0
20120521,1,96138.0
20120522,1,96088.0
20120523,1,96138.0
20120524,1,96475.0
20120525,1,96100.0
20120529,1,97025.0
20120530,0,96288.0
20120531,0,96288.0
20120601,0,96288.0
20120604,0,96288.0
20120605,0,96288.0
20120606,0,96288.0
20120607,0,96288.0
20120608,0,96288.0
20120611,0,96288.0
20120612,0,96288.0
20120613,0,96288.0
20120614,0,96288.0
20120615,0,96288.0
20120618,0,96288.0
20120619,0,96288.0
20120620,0,96288.0
20120621,0,96288.0
20120622,0,96288.0
20120625,0,96288.0
20120626,0,96288.0
20120627,0,96288.0
20120628,0,96288.0
20120629,0,96288.0
20120702,0,96288.0
20120703,0,96288.0
20120705,0,96288.0
20120706,0,96288.0
20120709,1,96638.0
20120710,1,95950.0
20120711,1,95988.0
20120712,1,95638.0
20120713,1,96762.0
20120716,0,96538.0
20120717,0,96538.0
20120718,0,96538.0
20120719,0,96538.0
20120720,0,96538.0
20120723,0,96538.0
20120724,1,96412.0
20120725,1,96688.0
20120726,0,97525.0
20120727,0,97525.0
20120730,0,97525.0
20120731,0,97525.0
20120801,1,97500.0
20120802,1,97075.0
20120803,1,98425.0
20120806,0,98488.0
20120807,0,98488.0
20120808,0,98488.0
20120809,0,98488.0
20120810,0,98488.0
20120813,0,98488.0
20120814,0,98488.0
20120815,0,98488.0
20120816,0,98488.0
20120817,0,98488.0
20120820,0,98488.0
20120821,0,98488.0
20120822,1,98712.0
20120823,1,98100.0
20120824,1,98588.0
20120827,0,98675.0
20120828,0,98675.0
20120829,0,98675.0
20120830,1,98412.0
20120831,1,98812.0
20120904,0,98712.0
20120905,0,98712.0
20120906,0,98712.0
20120907,0,98712.0
20120910,0,98712.0
20120911,0,98712.0
20120912,0,98712.0
20120913,0,98712.0
20120914,0,98712.0
20120917,0,98712.0
20120918,0,98712.0
20120919,0,98712.0
20120920,0,98712.0
20120921,0,98712.0
20120924,0,98712.0
20120925,1,98338.0
20120926,1,97825.0
20120927,1,98525.0
20120928,1,98188.0
20121001,1,98325.0
20121002,1,98525.0
20121003,1,98712.0
20121004,1,99262.0
20121005,0,99600.0
20121008,0,99600.0
20121009,1,99025.0
20121010,1,98538.0
20121011,1,98650.0
20121012,1,98300.0
20121015,1,99000.0
20121016,0,99262.0
20121017,0,99262.0
20121018,0,99262.0
20121019,0,99262.0
20121022,1,99588.0
20121023,0,98650.0
20121024,0,98650.0
20121025,1,98975.0
20121026,0,98850.0
20121029,0,98850.0
20121030,0,98850.0
20121031,0,98850.0
20121101,0,98850.0
20121102,0,98850.0
20121105,0,98850.0
20121106,0,98850.0
20121107,0,98850.0
20121108,0,98850.0
20121109,1,99150.0
20121112,0,99288.0
20121113,0,99288.0
20121114,0,99288.0
20121115,0,99288.0
20121116,0,99288.0
20121119,0,99288.0
20121120,0,99288.0
20121121,0,99288.0
20121123,0,99288.0
20121126,0,99288.0
20121127,0,99288.0
20121128,1,100112.0
20121129,0,100362.0
20121130,0,100362.0
20121203,0,100362.0
20121204,1,100312.0
20121205,1,100450.0
20121206,0,100312.0
20121207,0,100312.0
20121210,0,100312.0
20121211,0,100312.0
20121212,0,100312.0
20121213,0,100312.0
20121214,1,100288.0
20121217,1,101175.0
20121218,0,101150.0
20121219,0,101150.0
20121220,0,101150.0
20121221,0,101150.0
20121224,0,101150.0
20121226,1,100875.0
20121227,1,100738.0
20121228,1,99400.0
20121231,1,101200.0
20130102,0,102562.0
20130103,0,102562.0
20130104,0,102562.0
20130107,0,102562.0
20130108,0,102562.0
20130109,0,102562.0
20130110,0,102562.0
20130111,0,102562.0
20130114,0,102562.0
20130115,0,102562.0
20130116,0,102562.0
20130117,0,102562.0
20130118,0,102562.0
20130122,0,102562.0
20130123,0,102562.0
20130124,0,102562.0
20130125,0,102562.0
20130128,0,102562.0
20130129,0,102562.0
20130130,0,102562.0
20130131,0,102562.0
20130201,0,102562.0
20130204,0,102562.0
20130205,0,102562.0
20130206,0,102562.0
20130207,0,102562.0
20130208,0,102562.0
20130211,0,102562.0
20130212,0,102562.0
20130213,0,102562.0
20130214,0,102562.0
20130215,0,102562.0
20130219,0,102562.0
20130220,0,102562.0
20130221,0,102562.0
20130222,0,102562.0
20130225,0,102562.0
20130226,0,102562.0
20130227,0,102562.0
20130228,0,102562.0
20130301,0,102562.0
20130304,0,102562.0
20130305,0,102562.0
20130306,0,102562.0
20130307,0,102562.0
20130308,0,102562.0
20130311,0,102562.0
20130312,0,102562.0
20130313,0,102562.0
20130314,0,102562.0
20130315,0,102562.0
20130318,0,102562.0
20130319,1,102788.0
20130320,1,103125.0
20130321,0,102812.0
20130322,0,102812.0
20130325,0,102812.0
20130326,0,102812.0
20130327,0,102812.0
20130328,0,102812.0
20130401,0,102812.0
20130402,0,102812.0
20130403,0,102812.0
20130404,0,102812.0
20130405,0,102812.0
20130408,0,102812.0
20130409,0,102812.0
20130410,0,102812.0
20130411,0,102812.0
20130412,0,102812.0
20130415,0,102812.0
20130416,0,102812.0
20130417,0,102812.0
20130418,0,102812.0
20130419,0,102812.0
20130422,0,102812.0
20130423,0,102812.0
20130424,0,102812.0
20130425,0,102812.0
20130426,0,102812.0
20130429,0,102812.0
20130430,0,102812.0
20130501,0,102812.0
20130502,0,102812.0
20130503,0,102812.0
20130506,0,102812.0
20130507,0,102812.0
20130508,0,102812.0
20130509,0,102812.0
20130510,0,102812.0
20130513,0,102812.0
20130514,0,102812.0
20130515,0,102812.0
20130516,0,102812.0
20130517,0,102812.0
20130520,0,102812.0
20130521,0,102812.0
20130522,0,102812.0
20130523,0,102812.0
20130524,0,102812.0
20130528,0,102812.0
20130529,0,102812.0
20130530,0,102812.0
20130531,0,102812.0
20130603,0,102812.0
20130604,0,102812.0
20130605,0,102812.0
20130606,1,103675.0
20130607,0,104138.0
20130610,0,104138.0
20130611,0,104138.0
20130612,0,104138.0
20130613,1,105512.0
20130614,0,105362.0
20130617,0,105362.0
20130618,0,105362.0
20130619,0,105362.0
20130620,0,105362.0
20130621,1,105712.0
20130624,1,104825.0
20130625,1,105588.0
20130626,0,106212.0
20130627,0,106212.0
20130628,0,106212.0
20130701,0,106212.0
20130702,0,106212.0
20130703,0,106212.0
20130705,0,106212.0
20130708,0,106212.0
20130709,0,106212.0
20130710,0,106212.0
20130711,0,106212.0
20130712,0,106212.0
20130715,0,106212.0
20130716,0,106212.0
20130717,0,106212.0
20130718,0,106212.0
20130719,0,106212.0
20130722,0,106212.0
20130723,0,106212.0
20130724,0,106212.0
20130725,1,106550.0
20130726,0,106200.0
20130729,0,106200.0
20130730,0,106200.0
20130731,0,106200.0
20130801,0,106200.0
20130802,0,106200.0
20130805,0,106200.0
20130806,0,106200.0
20130807,1,106250.0
20130808,1,106525.0
20130809,0,106338.0
20130812,0,106338.0
20130813,0,106338.0
20130814,0,106338.0
20130815,0,106338.0
20130816,1,106125.0
20130819,1,105825.0
20130820,1,106100.0
20130821,1,105400.0
