Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20161013,0,0,1,0,1,0,1,1,0,0,223780.0
20161014,0,0,1,0,1,0,1,1,0,0,224199.0
20161017,0,0,1,0,1,0,1,1,0,0,224209.0
20161018,0,0,1,0,1,0,1,1,0,0,223802.0
20161019,0,0,1,0,1,0,1,1,0,0,222074.0
20161020,0,0,1,0,1,0,1,1,0,0,221684.0
20161021,0,0,1,0,1,0,1,1,0,0,219985.0
20161024,0,1,1,0,0,0,1,1,0,0,219642.0
20161025,0,1,1,0,0,0,1,1,0,0,217630.0
20161026,0,1,1,0,0,0,1,1,0,0,217984.0
20161027,0,1,1,0,0,0,1,1,0,0,217216.0
20161028,0,1,1,0,0,0,1,1,0,0,214465.0
20161031,0,1,1,1,0,0,1,1,0,0,213871.0
20161101,0,1,1,1,0,0,1,0,0,0,210529.0
20161102,0,1,1,1,0,0,1,0,0,0,208084.0
20161103,0,1,1,1,0,0,1,0,0,0,209829.0
20161104,0,1,1,1,0,0,1,0,0,0,212012.0
20161107,0,1,1,1,1,0,1,0,0,0,216605.0
20161108,0,1,1,1,1,0,1,0,0,0,216525.0
20161109,0,0,0,1,1,0,1,0,0,0,211349.0
20161110,0,0,0,1,1,0,1,0,0,0,208505.0
20161111,0,0,0,1,1,0,1,0,0,0,207779.0
20161114,0,0,0,1,1,0,1,0,0,0,207450.0
20161115,0,0,0,1,1,0,1,0,0,1,208088.0
20161116,0,1,0,1,1,0,1,0,0,1,206900.0
20161117,0,1,1,1,1,0,1,0,0,1,209077.0
20161118,0,1,1,1,1,0,1,0,0,1,208898.0
20161121,0,1,1,1,1,0,0,0,0,1,207201.0
20161122,0,1,1,1,1,0,0,0,0,1,205860.0
20161123,0,1,1,1,1,0,0,0,0,1,207353.0
20161125,0,1,1,0,1,0,0,0,0,1,207162.0
20161128,0,1,1,0,0,0,0,0,0,1,204195.0
20161129,0,1,1,0,0,1,0,0,0,1,203102.0
20161130,0,1,1,0,0,1,0,0,0,1,205517.0
20161201,0,1,1,0,0,1,0,0,0,1,205760.0
20161202,0,1,1,0,0,1,0,0,0,1,204186.0
20161205,0,1,1,0,0,1,0,0,0,1,203741.0
20161206,0,1,1,0,0,1,0,0,0,1,205256.0
20161207,0,1,1,0,0,1,0,0,0,1,203710.0
20161208,0,1,1,0,0,1,0,0,0,1,205232.0
20161209,0,1,1,0,0,1,0,0,0,1,208057.0
20161212,0,1,1,0,0,1,0,0,0,1,206423.0
20161213,0,1,1,0,0,1,0,0,0,1,207157.0
20161214,0,1,1,0,0,1,0,0,0,1,207202.0
20161215,0,1,1,0,0,1,0,0,0,1,213589.0
20161216,0,1,1,0,0,1,0,0,0,1,213223.0
20161219,0,1,1,0,0,1,0,0,0,1,211862.0
20161220,0,1,1,0,0,1,0,0,0,1,212268.0
20161221,0,1,1,0,0,1,0,0,0,1,211762.0
20161222,0,1,1,0,0,0,0,0,0,1,211324.0
20161223,0,1,1,0,0,0,0,0,0,1,210790.0
20161227,0,1,1,0,0,0,0,0,0,1,210295.0
20161228,0,1,1,0,0,0,0,0,0,1,210192.0
20161229,0,1,1,0,0,0,0,0,0,1,207387.0
20161230,0,1,1,0,0,0,0,0,0,1,207021.0
20170103,0,1,1,0,0,0,0,0,0,1,207769.0
20170104,0,1,1,0,0,0,0,0,0,1,206777.0
20170105,0,1,1,0,0,0,0,0,0,1,202914.0
20170106,0,1,1,0,0,0,0,0,0,1,204888.0
20170109,0,1,1,0,0,0,0,0,0,1,202795.0
20170110,0,1,1,0,0,0,0,0,0,1,203000.0
20170111,0,1,1,0,0,0,0,0,0,1,201631.0
20170112,0,1,1,0,0,0,0,0,0,1,200639.0
20170113,0,1,1,0,0,0,0,0,0,1,200896.0
20170117,0,1,1,0,0,0,0,0,0,1,197948.0
20170118,0,1,1,0,0,0,0,0,0,1,199075.0
20170119,0,1,1,0,0,0,0,0,0,1,200800.0
20170120,0,1,1,0,0,0,0,0,0,1,199813.0
20170123,0,1,1,0,0,0,0,0,0,1,197675.0
20170124,0,1,0,0,0,0,0,0,0,1,198151.0
20170125,0,1,0,0,0,0,0,0,0,1,198326.0
20170126,0,1,0,0,0,0,0,0,0,1,198720.0
20170127,0,1,0,0,0,0,0,0,0,1,198517.0
20170130,0,1,0,0,0,0,0,0,0,1,198551.0
20170131,0,0,0,0,0,0,0,0,0,1,197257.0
20170201,0,0,0,0,0,0,0,0,0,1,197398.0
20170202,0,0,0,0,0,0,0,0,0,1,197351.0
20170203,0,0,0,0,0,0,0,0,0,1,197445.0
20170206,0,0,0,0,0,0,0,0,0,1,196788.0
20170207,0,0,0,0,0,0,0,0,0,1,196617.0
20170208,0,0,0,0,0,0,0,0,0,1,196367.0
20170209,0,0,0,0,0,0,0,0,0,1,196804.0
20170210,0,0,0,0,0,0,0,0,0,1,196945.0
20170213,0,0,0,0,0,0,0,0,0,1,197132.0
20170214,0,0,0,0,0,0,0,0,0,1,197492.0
20170215,0,0,0,0,0,0,0,0,0,1,197757.0
20170216,0,0,0,0,0,0,0,0,0,1,197273.0
20170217,0,0,0,0,0,0,0,0,0,1,197023.0
20170221,0,0,0,0,0,0,0,0,0,1,197023.0
20170222,0,0,0,0,0,0,0,0,0,1,196960.0
20170223,0,0,0,0,0,0,0,0,0,0,196630.0
20170224,0,0,0,0,0,0,0,0,0,0,196630.0
20170227,0,0,0,0,0,0,0,0,0,0,196630.0
20170228,0,0,0,0,0,0,0,0,0,0,196630.0
20170301,0,0,0,0,0,0,0,0,0,0,196630.0
20170302,0,0,0,0,0,0,0,0,0,0,196630.0
20170303,0,0,0,0,0,0,0,0,0,0,196630.0
20170306,0,0,0,0,0,0,0,0,0,0,196630.0
20170307,0,0,0,0,0,0,0,0,0,0,196630.0
20170308,0,0,0,0,0,0,0,0,0,0,196630.0
20170309,0,0,0,0,0,0,0,0,0,0,196630.0
20170310,0,0,0,0,0,0,0,0,0,0,196630.0
20170313,0,0,0,0,0,0,0,0,0,0,196630.0
20170314,0,0,0,0,0,0,0,0,0,0,196630.0
20170315,0,0,0,0,0,0,0,0,0,0,196630.0
20170316,1,0,0,0,0,0,0,0,0,0,196890.0
20170317,1,0,0,0,0,0,0,0,0,0,196820.0
20170320,1,0,0,0,0,0,0,0,0,0,197220.0
20170321,1,0,0,0,0,0,0,0,0,0,197890.0
20170322,1,0,0,0,0,0,0,0,0,0,198090.0
20170323,1,0,0,0,0,0,0,0,0,0,198430.0
20170324,1,0,0,0,0,0,0,0,0,0,198160.0
20170327,1,0,0,0,0,0,0,0,0,0,198400.0
20170328,1,0,0,0,0,0,0,0,0,0,197760.0
20170329,1,0,0,0,0,1,0,0,0,0,196695.0
20170330,1,0,0,0,0,1,0,0,0,0,196155.0
20170331,1,0,0,0,0,1,0,0,0,0,196755.0
20170403,1,0,0,0,0,1,0,0,0,0,197502.0
20170404,1,0,0,0,0,1,0,1,0,0,197107.0
20170405,1,0,0,0,0,1,0,1,0,0,196729.0
20170406,1,0,0,0,0,1,0,1,0,0,195925.0
20170407,0,0,0,0,0,1,0,1,0,0,194261.0
20170410,0,0,0,0,0,1,0,1,0,0,194431.0
20170411,0,0,0,0,0,1,0,1,0,0,194455.0
20170412,0,0,0,0,0,1,0,1,0,0,194052.0
20170413,0,0,0,0,0,1,0,1,0,0,193777.0
20170417,0,0,0,0,0,1,0,1,0,0,194035.0
20170418,0,0,0,0,0,1,0,1,0,1,194780.0
20170419,0,0,0,0,0,1,0,1,0,1,194647.0
20170420,0,0,0,0,0,1,0,1,0,1,194595.0
20170421,0,0,0,0,0,1,0,1,0,1,194380.0
20170424,0,0,0,0,0,1,0,1,0,1,193814.0
20170425,0,0,0,0,0,1,1,1,0,1,192836.0
20170426,0,0,0,1,0,1,1,1,0,1,195505.0
20170427,0,0,0,1,0,1,1,1,0,1,195322.0
20170428,0,0,0,1,0,1,1,1,0,1,192734.0
20170501,0,0,0,1,0,1,1,1,0,1,191099.0
20170502,0,0,0,1,0,1,1,1,0,1,191245.0
20170503,0,0,0,1,0,1,0,1,0,1,189847.0
20170504,0,0,0,1,0,1,0,1,0,1,190907.0
20170505,0,0,0,1,0,1,0,1,0,1,190802.0
20170508,0,0,0,1,0,1,0,1,0,1,190530.0
20170509,0,0,0,1,0,1,0,1,1,1,191262.0
20170510,1,0,0,1,0,1,0,1,1,1,188574.0
20170511,1,0,0,1,0,1,0,1,1,1,189228.0
20170512,1,0,0,1,0,1,0,1,1,1,189115.0
20170515,1,0,0,1,0,1,0,1,1,1,187422.0
20170516,1,0,0,1,0,1,0,1,1,1,186883.0
20170517,1,0,0,1,0,1,0,1,1,1,185002.0
20170518,1,0,0,1,0,1,0,1,1,1,189425.0
20170519,1,0,0,1,0,1,0,1,1,1,185968.0
20170522,1,1,0,1,0,1,0,1,1,1,184093.0
20170523,0,1,0,1,0,1,0,1,1,1,184072.0
20170524,0,1,0,1,0,1,0,1,1,1,185415.0
20170525,0,1,0,1,0,1,0,1,1,1,185362.0
20170526,0,1,0,1,0,1,0,1,1,1,185017.0
20170530,0,1,0,1,0,1,0,1,1,1,185265.0
20170531,0,1,0,1,0,1,0,1,1,1,187260.0
20170601,0,1,0,1,0,1,0,1,1,1,188893.0
20170602,0,1,0,1,0,1,0,1,1,1,189806.0
20170605,0,1,0,1,0,1,0,1,0,1,187658.0
20170606,0,1,0,1,0,1,0,1,0,1,189005.0
20170607,0,1,0,1,0,1,0,1,0,1,187966.0
20170608,0,1,0,1,0,1,0,1,0,1,186670.0
20170609,0,1,0,1,0,1,0,1,0,1,186142.0
20170612,0,1,0,1,0,1,0,1,0,1,186610.0
20170613,0,1,0,1,0,1,0,1,0,1,187320.0
20170614,0,1,0,1,0,1,0,1,0,1,188483.0
20170615,0,1,0,1,0,1,0,1,0,1,187294.0
20170616,0,1,0,1,0,1,0,1,0,1,188512.0
20170619,0,1,0,1,0,1,0,1,0,1,187443.0
20170620,0,1,0,1,0,1,0,1,0,1,188572.0
20170621,0,1,0,1,0,1,0,1,0,1,190929.0
20170622,0,1,0,1,0,1,0,1,0,1,193775.0
20170623,1,1,0,1,1,1,0,1,0,1,191357.0
20170626,1,1,0,1,1,1,0,1,0,1,189525.0
20170627,1,1,0,1,1,1,0,1,0,1,189526.0
20170628,1,1,0,1,1,1,0,1,0,1,189319.0
20170629,1,1,0,1,1,1,0,1,0,1,188167.0
20170630,1,1,0,1,1,1,0,1,0,1,185086.0
20170703,1,1,0,1,1,0,0,1,0,0,182403.0
20170705,1,1,0,1,1,0,0,1,0,0,184614.0
20170706,1,1,0,1,1,0,0,1,0,0,184845.0
20170707,1,1,0,1,1,0,0,1,0,0,185943.0
