CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20150930,-9680.0,-7700.0,14710.0,19781.25,15980.0,-21500.0,-1220.0,24111.2,49370.0,-1429.85,
20151030,-14730.0,-8781.25,11870.0,14106.25,20740.0,-21212.5,-4230.0,25948.0,48505.0,-2476.72,
20151130,-12750.0,-3368.75,12870.0,13450.0,22810.0,-20975.0,-5280.0,26407.2,45160.0,-4229.85,
20151231,-7930.0,-6918.75,13380.0,10806.25,22290.0,-20325.0,-6480.0,26754.4,46575.0,-3698.6,
20160129,-4870.0,-6325.0,8330.0,14687.5,22650.0,-21225.0,-5840.0,26122.0,44375.0,-3701.72,
20160229,-8900.0,-12031.25,18800.0,15962.5,28940.0,-19925.0,-6130.0,24923.6,43555.0,-2404.85,
20160331,-13280.0,-5850.0,17910.0,10550.0,27010.0,-20812.5,-6270.0,23563.2,46285.0,-2529.85,
20160429,-12910.0,-5187.5,17990.0,7531.25,26060.0,-15337.5,-8300.0,24414.4,57280.0,-2857.97,
20160531,-10410.0,-9312.5,12120.0,7550.0,26620.0,-13100.0,-7880.0,25724.8,52220.0,-3139.22,
20160630,-11710.0,-8550.0,2900.0,15875.0,29050.0,-6712.5,-9220.0,28760.0,54825.0,157.65,
20160729,-12510.0,-9725.0,5840.0,13318.75,28920.0,-6637.5,-7690.0,27326.4,61520.0,220.15,
20160831,-14880.0,-9287.5,1230.0,13318.75,28640.0,-3637.5,-9210.0,28457.6,54610.0,-936.1,
20160930,-17810.0,-10150.0,1800.0,10712.5,28250.0,-4187.5,-3680.0,30054.0,54610.0,-2376.72,
20161031,-23130.0,-6525.0,920.0,15437.5,32390.0,-8500.0,-5270.0,28452.4,57930.0,-876.72,
20161130,-29710.0,-2225.0,9880.0,8931.25,30380.0,-7475.0,-5860.0,27551.2,63175.0,3560.78,
20161230,-29810.0,-1275.0,11420.0,12743.75,26100.0,-9362.5,-3220.0,27887.2,65640.0,3795.15,
20170131,-31500.0,-4362.5,7530.0,8056.25,22140.0,-8337.5,-2530.0,26834.4,59650.0,3607.65,
20170228,-30690.0,-1568.75,10300.0,11562.5,25950.0,-8325.0,-3190.0,23379.6,63940.0,2323.28,
20170331,-31640.0,-6843.75,9710.0,12800.0,22560.0,-7087.5,-3870.0,23564.8,62875.0,-1586.1,
20170428,-29910.0,-4356.25,11420.0,15075.0,22610.0,-7075.0,-3930.0,24360.0,57565.0,-1636.1,
20170531,-25690.0,-168.75,11800.0,16593.75,25570.0,-5062.5,-5100.0,25771.2,53105.0,-761.1,
20170630,-27410.0,1787.5,8490.0,18825.0,26150.0,-6687.5,-4470.0,27204.8,57315.0,-1526.72,
20170731,-30740.0,5737.5,920.0,14893.75,28390.0,-8162.5,-5820.0,25972.8,58080.0,-1167.35,
20170831,-30740.0,6381.25,3330.0,9237.5,26260.0,-11262.5,-6240.0,26544.0,58915.0,192.03,
20170929,-30200.0,5068.75,-410.0,4181.25,23460.0,-10112.5,-4520.0,27641.6,54420.0,-1717.35,
20171031,-27720.0,4137.5,-1840.0,4800.0,22950.0,-9850.0,-7740.0,26924.8,53015.0,-1342.35,
20171130,-24890.0,1300.0,-1670.0,4781.25,22650.0,-9800.0,-5990.0,26090.8,52865.0,-686.1,
20171229,-22880.0,737.5,-5750.0,5643.75,23280.0,-10012.5,-6790.0,23151.2,49510.0,-686.1,
20180131,-18520.0,5387.5,-2880.0,7275.0,20580.0,-11712.5,-9160.0,25312.8,46725.0,1782.65,
20180228,-21440.0,2506.25,-5400.0,7950.0,16880.0,-12387.5,-10780.0,25021.6,42890.0,2751.4,
20180329,-18200.0,3206.25,-5050.0,9393.75,17120.0,-12925.0,-8080.0,26175.2,42350.0,1657.65,
20180430,-14710.0,3425.0,-5860.0,8381.25,17070.0,-13325.0,-6540.0,27060.0,35070.0,3173.28,
20180531,-16320.0,9387.5,-5870.0,8043.75,18650.0,-17200.0,-7520.0,25895.2,32070.0,763.9,
20180629,-9000.0,7800.0,-850.0,11575.0,18370.0,-8587.5,-7290.0,26903.2,28180.0,513.9,
20180731,-8390.0,7787.5,2060.0,13525.0,15650.0,-11450.0,-2250.0,28807.2,31375.0,-251.72,
20180831,-8390.0,9393.75,8040.0,17706.25,14270.0,-7675.0,-2130.0,28751.2,35435.0,701.4,
20180928,-6490.0,4443.75,8040.0,17112.5,13710.0,-7775.0,-4930.0,25878.8,34660.0,-457.97,
20181031,-13720.0,2575.0,6540.0,13481.25,15630.0,-7450.0,-4720.0,28107.6,36810.0,-114.22,
20181130,-1970.0,2993.75,6990.0,10181.25,28390.0,-9600.0,-4340.0,27715.6,37820.0,-1039.22,
20181231,2180.0,1668.75,12520.0,9737.5,30240.0,-12787.5,-6970.0,27408.0,35985.0,1523.28,
20190131,-3570.0,2118.75,15160.0,8218.75,23280.0,-11775.0,-5840.0,26624.0,38645.0,1976.4,
20190228,-2490.0,3281.25,14250.0,12137.5,23200.0,-12687.5,-4100.0,25487.6,35965.0,1179.53,
20190329,130.0,5668.75,11850.0,13618.75,24840.0,-13087.5,-7000.0,25207.6,32045.0,3398.28,
20190430,3210.0,5943.75,10590.0,16437.5,26150.0,-10900.0,-7130.0,24620.0,33080.0,2851.4,
20190531,2940.0,6937.5,8590.0,13762.5,27490.0,-12087.5,-8920.0,24888.8,35165.0,5601.4,
20190628,-1790.0,4143.75,13310.0,14625.0,28780.0,-15075.0,-5400.0,24586.4,30330.0,6643.75,
20190731,-1760.0,2131.25,14430.0,10950.0,29350.0,-17150.0,-6190.0,25045.6,35650.0,6096.88,
20190830,1670.0,3856.25,21600.0,9212.5,28690.0,-19275.0,-1850.0,26244.0,43155.0,9737.5,
