Date,EC,JY,
20111103,1,1,58475.0
20111104,1,1,59400.0
20111107,1,1,59225.0
20111108,1,1,57612.0
20111109,1,1,61662.0
20111110,1,1,60737.0
20111111,1,1,57687.0
20111114,1,1,59262.0
20111115,1,1,59950.0
20111116,1,1,60137.0
20111117,1,1,60750.0
20111118,1,1,60175.0
20111121,1,1,60337.0
20111122,1,1,60300.0
20111123,1,1,63300.0
20111125,1,1,65187.0
20111128,1,1,64962.0
20111129,1,1,64487.0
20111130,1,1,60222.0
20111201,1,1,60747.0
20111202,1,1,60609.0
20111205,1,1,59972.0
20111206,1,1,59972.0
20111207,1,1,59709.0
20111208,1,1,58984.0
20111209,1,1,56905.0
20111212,1,1,59855.0
20111213,1,1,61855.0
20111214,1,1,62780.0
20111215,1,1,62043.0
20111216,1,1,61855.0
20111219,1,1,62168.0
20111220,1,1,61330.0
20111221,1,1,62093.0
20111222,1,1,62280.0
20111223,1,1,61855.0
20111227,1,1,61318.0
20111228,1,1,63118.0
20111229,1,1,62630.0
20111230,1,1,63355.0
20120103,1,1,62605.0
20120104,1,1,63930.0
20120105,1,1,64918.0
20120106,1,1,66030.0
20120109,1,1,65930.0
20120110,1,1,65643.0
20120111,1,1,66693.0
20120112,1,1,65255.0
20120113,1,1,62393.0
20120117,1,1,63305.0
20120118,1,1,64843.0
20120119,1,1,65243.0
20120120,1,1,65480.0
20120123,1,1,66618.0
20120124,1,1,65143.0
20120125,1,1,65480.0
20120126,1,1,65118.0
20120127,1,1,64680.0
20120130,1,1,64153.0
20120131,1,1,63728.0
20120201,1,1,64703.0
20120202,1,1,64615.0
20120203,1,1,63878.0
20120206,1,1,61830.0
20120207,1,1,60272.0
20120208,1,1,59760.0
20120209,1,1,59604.0
20120210,1,1,57991.0
20120213,1,1,58479.0
20120214,1,1,58617.0
20120215,1,1,59017.0
20120216,1,1,58917.0
20120217,1,1,59767.0
20120221,1,1,58524.0
20120222,1,1,59524.0
20120223,1,1,60399.0
20120224,1,1,63674.0
20120227,1,1,61911.0
20120228,1,1,62824.0
20120229,1,1,62449.0
20120301,1,1,62086.0
20120302,1,1,62074.0
20120305,1,1,61661.0
20120306,1,1,60377.0
20120307,1,1,58965.0
20120308,1,1,56640.0
20120309,1,1,59860.0
20120312,1,1,58822.0
20120313,1,1,60910.0
20120314,1,1,63035.0
20120315,1,1,61560.0
20120316,1,1,60560.0
20120319,1,1,59797.0
20120320,1,1,60435.0
20120321,1,1,58760.0
20120322,1,1,56872.0
20120323,1,1,56544.0
20120326,1,1,56957.0
20120327,1,1,56357.0
20120328,1,1,56732.0
20120329,1,1,56982.0
20120330,1,1,56869.0
20120402,1,1,57957.0
20120403,1,1,54994.0
20120404,1,1,55779.0
