CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20170131,-4265.15,12752.8,-10445.34,12898.13,16408.94,27696.0,-2511.03,11890.36,10888.0,6135.02,
20170228,-4265.15,12752.8,-10445.34,12898.13,15598.94,27696.0,-3171.03,11890.36,10888.0,5507.85,
20170331,-5575.15,12752.8,-10445.34,12898.13,12208.94,28958.5,-3571.03,13053.94,10888.0,5507.85,
20170428,-7955.15,12752.8,-12887.22,12898.13,11358.94,28971.0,-5411.03,13849.14,10888.0,5940.53,
20170531,-11617.58,16897.37,-15497.22,12898.13,11358.94,30983.5,-5971.38,15260.34,6283.0,6815.53,
20170630,-12021.57,18853.62,-19559.13,11660.63,10724.92,29358.5,-5341.38,16693.94,5818.0,6049.91,
20170731,-14211.57,23772.37,-23647.46,8366.88,12964.92,27933.5,-6691.38,15461.94,758.0,5748.81,
20170831,-14211.57,24416.12,-23647.46,8366.88,10834.92,25858.5,-6881.38,15288.74,758.0,5748.81,
20170929,-14211.57,23103.62,-28437.46,8366.88,10674.92,25858.5,-5571.38,15288.74,758.0,4683.17,
20171031,-14211.57,21591.12,-28437.46,8366.88,10674.92,25858.5,-7941.38,15288.74,758.0,4451.92,
20171130,-11281.57,18594.85,-28437.46,8366.88,10674.92,25858.5,-7941.38,15288.74,758.0,5108.17,
20171229,-8301.57,18594.85,-28437.46,8366.88,8014.92,25858.5,-7941.38,14259.04,-4312.0,5108.17,
20180131,-3941.57,21069.85,-27180.62,8366.88,5444.92,25858.5,-9051.38,14169.44,-4312.0,7576.92,
20180228,-9941.57,18188.6,-29700.62,8366.88,1834.92,26496.0,-9301.38,13878.24,-4312.0,8545.67,
20180329,-9941.57,18888.6,-30640.62,8366.88,1834.92,24196.0,-9361.38,15031.84,-4312.0,7451.92,
20180430,-9941.57,18344.85,-30640.62,8366.88,1834.92,24196.0,-7821.38,15916.64,-4312.0,8967.54,
20180531,-12068.0,22351.1,-30640.62,8366.88,1834.92,24196.0,-8801.38,14925.84,-4312.0,8261.29,
20180629,-12336.36,22944.85,-29230.62,8366.88,1834.92,27896.0,-9841.38,14925.84,-4312.0,8261.29,
20180731,-18466.36,22932.35,-26180.62,9116.88,1834.92,25946.0,-7301.38,15791.86,-4282.0,8261.29,
20180831,-18466.36,22888.6,-23490.62,13298.13,1834.92,29721.0,-7181.38,15735.86,1353.0,8261.29,
20180928,-18370.79,22888.6,-22440.62,13054.38,1834.92,29621.0,-10051.38,14733.86,578.0,8136.29,
20181031,-22200.79,23969.85,-25210.62,6837.48,2194.92,28346.0,-10051.38,14742.05,2728.0,8480.04,
20181130,-9398.81,24388.6,-25210.62,5343.73,15234.92,28346.0,-10051.38,14350.05,-187.0,7822.19,
20181231,-3608.81,23063.6,-24880.62,5343.73,4544.92,28346.0,-10051.38,13852.05,-187.0,9288.33,
20190131,-11748.81,22326.1,-21110.62,5343.73,4544.92,28346.0,-10051.38,13852.05,1173.0,9741.45,
20190228,-12678.81,22326.1,-22020.62,5343.73,4544.92,28346.0,-10161.38,13852.05,-1507.0,8944.58,
20190329,-12678.81,22326.1,-25540.62,5571.58,4544.92,28833.59,-13951.37,13852.05,-3352.0,11163.33,
20190430,-14901.92,22326.1,-25540.62,7015.33,4544.92,31021.09,-14081.37,13852.05,-3914.02,10616.45,
20190531,-17731.92,22326.1,-25540.62,5390.33,4544.92,29833.59,-15241.37,13684.05,-1829.02,13366.45,
20190628,-22789.74,22326.1,-18896.03,5390.33,4644.92,29083.59,-15560.59,13141.25,-4474.02,14585.2,
